	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
Ldh	1.37368626349132e-147	6.4944963923965	1	0.451	3.28750596578744e-143
FBti0063565	2.28299494746806e-110	5.12525595210858	1	0.255	5.46366350828057e-106
Obp99b	1.21006822385556e-103	-2.85758576628809	0.961	1	2.89593527333114e-99
Dro	1.64756150779427e-81	3.20054661718363	1	0.902	3.94294420045326e-77
CG6654	5.26448498073754e-81	-2.44000242379334	0.824	0.961	1.25989654559011e-76
Dgp-1	3.82805078244025e-80	3.22469435929417	0.98	0.941	9.16129113253601e-76
MFS3	3.98882898268836e-70	4.63938155695769	0.961	0.333	9.54606552136979e-66
CG6912	5.04874912698392e-69	3.23979546759789	0.961	0.608	1.20826664106979e-64
AttC	2.10129279008213e-62	3.47352473811395	0.961	0.588	5.02881390522455e-58
RR48373-transposable-element	3.58472019388793e-52	-1.28404182739804	1	1	8.57895236801261e-48
asRNA:CR45600	7.11101275572784e-51	3.67511693797776	0.902	0.51	1.70180757270079e-46
CG8620	4.49022476854711e-45	5.66508207799373	0.863	0.216	1.07460059160869e-40
y	8.42670689489681e-45	4.81698362325538	0.902	0.255	2.0166794940867e-40
RR48386-transposable-element	2.84525079586086e-44	-2.93246684231454	0.235	0.824	6.80925420465421e-40
FBti0019285	4.97090357904204e-43	-2.28587438219191	0.647	0.882	1.18963664453634e-38
Arc1	4.43711909624639e-40	3.45662559794548	0.98	0.725	1.06189134211369e-35
Cyp4e3	1.2322448595068e-39	3.77836829317677	0.922	0.451	2.94900839777168e-35
TotA	1.62555649346667e-36	-1.87603249368131	0.922	0.98	3.89028180016444e-32
FBti0019466	4.65523345104285e-36	-3.46267971390999	0.373	0.961	1.11409046950357e-31
Mtk	5.5666579237613e-34	2.25199656064045	1	0.961	1.33221257431455e-29
FBti0019000	1.24020426209707e-32	-1.44740475967886	0.961	0.98	2.9680568400507e-28
hzg	7.22864710157265e-32	2.51153938814461	1	1	1.72995982434837e-27
AttA	1.13238939606957e-30	3.71000590348262	0.902	0.412	2.7100343026737e-26
28SrRNA-Psi:CR45859	5.01362608475405e-30	-0.93800837720367	0.98	1	1.19986099460334e-25
CG11313	4.02664782676022e-29	4.90431205150674	0.745	0.059	9.63657357900256e-25
Ir76a	8.22421365898612e-29	2.53753715452842	0.922	0.49	1.96821881286856e-24
FBti0019603	2.34512745591152e-28	1.08411614567483	1	0.98	5.61235902748745e-24
CG7130	3.85459030985117e-28	3.17960755483965	0.824	0.569	9.22480552953582e-24
Drs	9.19481401938513e-28	1.68910340793046	1	0.941	2.20050289111925e-23
FBti0020120	1.43864382833024e-27	-1.47936172126287	0.863	0.98	3.44296240995992e-23
RR48375-transposable-element	1.55373448905534e-27	-1.66040736603857	0.725	0.98	3.71839737920723e-23
ND-75	4.02877097341318e-26	-1.374182366367	0.98	1	9.64165469357243e-22
FBti0020044	1.65467062091956e-25	-1.52746268458763	0.765	0.882	3.95995772998468e-21
TotC	2.13449137341523e-25	-2.70765922465417	0.196	0.824	5.10826475485732e-21
CG6454	3.48415438439876e-24	-0.630506221860583	0.961	1	8.33827827274311e-20
Tspo	2.29142307394912e-23	1.90924012232099	0.961	0.922	5.48383370057502e-19
bor	2.90188880945092e-23	1.81962263414247	0.98	0.882	6.94480029877794e-19
28SrRNA-Psi:CR45848	4.20588146910383e-23	-1.34657738015739	0.784	0.961	1.00655155318593e-18
FBti0019220	2.79093383794059e-22	-1.76487159073609	0.294	0.765	6.67926286095942e-18
FBti0063007	3.82765647332264e-22	-1.10472225250469	0.941	1	9.16034747195575e-18
28SrRNA-Psi:CR40741	5.64789299670182e-21	-1.13024536775532	0.824	0.922	1.35165375197068e-16
CG14304	5.82479459953522e-21	-0.977329169801943	0.922	1	1.39398984356077e-16
RR50375-transposable-element	7.07862058339589e-21	1.92373102965982	0.863	0.608	1.6940554780183e-16
CG31115	1.01901613967019e-20	-1.93784352393743	0.176	0.784	2.43870942545869e-16
Pepck2	4.07110193869369e-20	2.77884223431519	0.824	0.51	9.74296115968174e-16
Arc2	9.42312421565383e-20	2.93439689111046	0.824	0.608	2.25514208729027e-15
Syn1	1.09545177257717e-19	-1.06346641884339	1	1	2.62163518213168e-15
IscU	1.16583832653774e-19	0.928519420382059	1	1	2.79008428307013e-15
IBIN	9.80248814068107e-19	1.92025964995576	0.98	0.863	2.34593146182779e-14
28SrRNA-Psi:CR40596	1.16414575914827e-18	-0.614268450493626	0.98	1	2.78603363079364e-14
Hsp26	1.57535984499184e-18	2.47861526725523	0.941	0.843	3.77015118103448e-14
FBti0020099	1.95755938113859e-18	3.77467540021945	0.765	0.333	4.68483111094086e-14
TotX	4.65610239251759e-18	-2.6996174353939	0.255	0.824	1.11429842457731e-13
CG10916	6.50171587394108e-18	1.49535460028461	0.922	0.902	1.55599064295158e-13
asrij	1.26994625859303e-17	1.50514033474452	0.961	0.922	3.03923538606484e-13
FBti0019150	1.53177047289268e-17	-1.10515007925804	0.902	0.98	3.66583309572676e-13
CG33978	3.46675112833654e-17	1.81266450388221	0.98	0.922	8.296628800335e-13
FBti0019110	6.6046308016618e-17	3.27582836999389	0.804	0.647	1.5806202434537e-12
Fdx1	1.43801744334192e-16	1.79411521829848	0.922	0.922	3.44146334540589e-12
Myc	2.16015760932543e-16	1.62063211341472	0.98	0.98	5.16968919063763e-12
DptA	2.66633757687437e-16	1.83404978872303	0.961	0.725	6.38107908897573e-12
CG2064	3.04138732662476e-16	2.3826719736135	0.824	0.529	7.27864815007839e-12
asRNA:CR45889	4.25753450567824e-16	-0.931266526749527	0.843	0.961	1.01891315789892e-11
FBti0019213	1.47525378301422e-15	-1.28984991167391	0.529	0.882	3.53057735350963e-11
DptB	2.96134653336571e-15	2.24119223024462	0.843	0.608	7.08709452365081e-11
aqz	1.04787198480305e-14	0.37030938744757	1	1	2.50776723403065e-10
28SrRNA-Psi:CR45860	1.22445663498992e-14	-1.23095443483987	0.667	0.843	2.93036961885786e-10
FBti0020039	1.65077945767572e-14	-1.62968042101036	0.529	0.843	3.95064539810953e-10
FBti0019332	1.76315318606545e-14	-1.32192809488736	0.784	0.922	4.21957820489183e-10
FBti0020055	1.90187147312993e-14	-0.977779835158437	0.569	0.863	4.55155880949455e-10
Gadd45	2.02436660176732e-14	2.69540412824379	0.804	0.529	4.84471415134954e-10
CG33655	2.29705920786042e-14	1.49749965947082	0.608	0.294	5.49732209625156e-10
Klp54D	8.19209989400749e-14	2.19781439861578	0.863	0.373	1.96053334663387e-09
RR50423-transposable-element	1.50754314225419e-13	-1.2728249090266	0.843	0.902	3.60785224804274e-09
Alr	1.5163182760819e-13	1.19738299694906	0.863	0.824	3.6288528983192e-09
CG40228	1.71665400125823e-13	-0.324462474179239	1	1	4.1082963558112e-09
CG8654	4.70626249462861e-13	1.83977075240939	0.941	0.824	1.12630274021452e-08
FBti0019149	5.10503311594105e-13	-1.16627722442717	0.804	0.941	1.22173652530701e-08
ver	6.39149610423502e-13	2.0432370938406	0.686	0.451	1.52961284766553e-08
FBti0018994	7.73326073869897e-13	1.58496250072116	0.667	0.176	1.85072395998544e-08
FBti0020101	1.31493530706752e-12	-0.917850958646129	0.902	0.98	3.14690317687398e-08
Sam-S	1.55256673329962e-12	0.72028206789242	1	1	3.71560270613266e-08
Proc	1.87051675412306e-12	1.58248226390711	1	0.902	4.47652069596732e-08
CG30033	2.25302151433793e-12	1.73696559416621	0.882	0.608	5.39193108811353e-08
CG18213	2.78055618852468e-12	2.07672579064283	0.784	0.51	6.65442707037727e-08
CR41320	2.98990547849846e-12	1.08684325994776	0.843	0.667	7.15544179114251e-08
fit	3.09823099420323e-12	-1.45060776825029	0.804	0.863	7.41468641532717e-08
lncRNA:CR44138	3.51311554766403e-12	2.60090404459018	0.667	0.314	8.40758812866955e-08
pre-rRNA:CR45845	3.88911107941075e-12	2.41358243607846	0.725	0.412	9.30742063524581e-08
FBti0019008	6.20197842272176e-12	1.85244281158614	0.549	0.039	1.48425747612577e-07
Pgi	6.35462803255868e-12	1.2862078932678	1	1	1.52078958075194e-07
FBti0062856	7.00890652036639e-12	1.26840757793265	0.922	0.549	1.67737150845408e-07
FBti0018967	7.57761593517482e-12	3.25858262126271	0.725	0.392	1.81347504560604e-07
PGRP-SB1	8.13196242532993e-12	1.76938707185858	0.843	0.686	1.94614124762996e-07
FBti0102118	8.85095455233887e-12	-1.10402306454323	0.824	0.922	2.11821044346574e-07
Helz	9.26097323745986e-12	0.338048347912324	1	1	2.21633611518889e-07
Amy-p	9.8616476964264e-12	-1.85160816010733	0.255	0.804	2.36008952670877e-07
hoip	1.01395430542121e-11	1.15768673194863	0.863	0.725	2.42659544373404e-07
FBti0102113	1.03575944931336e-11	1.61399154933269	0.667	0.471	2.47877951409674e-07
Acf	1.15308742986699e-11	0.5883867434442	0.961	0.98	2.75956883715767e-07
CG33468	1.21201460241135e-11	2.10291831294557	0.549	0.176	2.90059334649085e-07
snRNA:U12	1.28610035107517e-11	-0.739586294325342	0.863	0.922	3.07789536019309e-07
Rop	1.49723351630189e-11	-0.318560801065821	1	1	3.58317925121368e-07
roq	1.58974736012365e-11	-0.434271544738897	0.922	1	3.80458338224792e-07
FBti0059759	1.85064729596626e-11	-1.02748073642211	0.49	0.725	4.42896910870646e-07
CG44774	2.05916407847187e-11	1.0787732881643	1	1	4.92799147259888e-07
COX7AL	2.14231061534153e-11	2.10128333583718	0.608	0.275	5.12697776463535e-07
BomS6	2.22751907898075e-11	-0.781022464516799	0.941	0.98	5.33089865981673e-07
Qtzl	3.40191866784075e-11	1.18342754619043	0.922	0.843	8.14147175587649e-07
Ald1	3.42884691633458e-11	1.07541503680309	1	1	8.20591644017191e-07
EMC2A	5.1943561174302e-11	0.821940723188798	0.961	0.941	1.24311330602339e-06
18SrRNA-Psi:CR41602	5.540762353017e-11	-0.716404271683889	0.843	0.922	1.32601524632403e-06
RR48383-transposable-element	6.29580856005028e-11	-0.853499344069018	0.765	0.941	1.50671290459123e-06
FBti0019417	6.67097437365476e-11	-1.0798807768687	0.843	0.961	1.59649758710306e-06
FBti0019405	9.13936547515455e-11	3.44499973729471	0.686	0.353	2.18723294551399e-06
Hsp23	1.37481056853233e-10	1.86271992471963	0.961	0.922	3.29019665261158e-06
AttB	2.13884000659986e-10	2.34933425222801	0.843	0.588	5.11867190379477e-06
RNaseMRP:RNA	2.56205801019256e-10	-0.882980617771658	0.745	0.882	6.13151722999284e-06
ppk28	2.97380103411279e-10	2.27811186259487	0.725	0.627	7.11690063483874e-06
Mis12	3.04110607906134e-10	0.822806998093649	0.863	0.765	7.2779750684096e-06
FBti0019596	3.0761588486934e-10	-1.11929892837234	0.588	0.804	7.36186335669305e-06
Nop60B	3.41204288896437e-10	1.23904604964217	0.922	0.882	8.16570104186954e-06
FBti0020031	3.86959779509132e-10	2.52025681133334	0.686	0.353	9.26072144321254e-06
EMC2B	4.79115107124223e-10	-0.72272622738295	0.804	0.922	1.14661827436969e-05
CG7739	4.82261533436908e-10	-0.504559252683872	1	0.98	1.15414830182121e-05
CG10960	5.47967684677729e-10	1.50022483129463	1	1	1.31139626297074e-05
MED21	6.0530567028218e-10	-0.4857078762221	0.98	1	1.44861753011931e-05
Rbp1	6.2431283593341e-10	-0.448024500905961	1	1	1.49410547895584e-05
FBti0019183	6.42736881360082e-10	2.84070419057596	0.902	0.922	1.53819790447095e-05
Mdr50	7.0096755825323e-10	2.59058704991503	0.608	0.255	1.67755556041163e-05
CG11458	9.54560887613938e-10	1.220750943129	1	0.98	2.28445511623768e-05
FBti0059745	1.60129476452838e-09	3.04730571477836	0.667	0.353	3.83221863046933e-05
CG10802	1.62650768427472e-09	0.651022865239272	0.922	0.882	3.89255819000627e-05
Spg7	1.63869485795246e-09	0.821314863902444	0.98	0.922	3.92172453405184e-05
RR51048-transposable-element	2.25387207885084e-09	-1.03598985705521	0.922	0.961	5.39396665910582e-05
CG9705	2.29820970487852e-09	1.25197106565335	0.98	0.98	5.50007546571528e-05
FeCH	2.63672754148338e-09	1.09711817805801	0.922	0.902	6.31021635227802e-05
