p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene
0	2.33307175293671	0.759	0.321	0	ENO1
0	-3.32911813725684	0.342	0.924	0	KAZN
0	-1.33770136555721	0.023	0.502	0	AL139260.1
0	-1.9817829733807	0.048	0.556	0	HIVEP3
0	2.10066905278568	0.792	0.386	0	ATP6V0B
0	-2.52312599415728	0.076	0.646	0	AGBL4
0	-3.74181446186811	0.187	0.826	0	DAB1
0	-3.04225730654	0.249	0.831	0	PDE4B
0	-2.53667232050866	0.151	0.719	0	LRRC7
0	-3.10512182514732	0.06	0.696	0	SLC44A5
0	-2.09215455941156	0.032	0.536	0	MIR137HG
0	-1.27919767620621	0.026	0.539	0	RNPC3
0	2.17491597960655	0.863	0.526	0	ATP1A1
0	2.11863167761533	0.806	0.459	0	SV2A
0	2.37558428150466	0.866	0.511	0	SYT11
0	3.16432612178713	0.992	0.762	0	ATP1B1
0	-1.39711289503115	0.023	0.574	0	MIR29B2CHG
0	-2.30948408917366	0.153	0.667	0	RGS7
0	-2.40434987973634	0.187	0.727	0	SMYD3
0	2.18458165523179	0.901	0.648	0	PREPL
0	-1.81659844919522	0.053	0.593	0	EML6
0	2.74664067140456	0.988	0.836	0	RTN4
0	2.51296228664005	0.877	0.514	0	MDH1
0	-3.42395974712519	0.137	0.775	0	LRRTM4
0	-2.42817287251135	0.32	0.787	0	CTNNA2
0	-1.29585596402267	0.013	0.481	0	ANKRD36
0	-1.68360289703763	0.04	0.592	0	AC092683.1
0	-2.22250182595584	0.055	0.648	0	ANKRD30BL
0	-3.48888927697301	0.448	0.941	0	LRP1B
0	-2.36433805825936	0.099	0.687	0	MBD5
0	-3.16830295299747	0.052	0.635	0	AC073050.1
0	2.50177286829811	0.781	0.277	0	TUBA4A
0	3.1540614708301	0.928	0.551	0	SCG2
0	1.75252551344168	0.937	0.713	0	DNER
0	-1.49243215697924	0.022	0.52	0	KIF9-AS1
0	-1.41144544918964	0.072	0.618	0	RBM6
0	-2.20330653132105	0.078	0.618	0	CACNA1D
0	-2.42193876001459	0.103	0.654	0	FHIT
0	-2.6398753910658	0.719	0.929	0	ROBO2
0	-2.5174130152067	0.202	0.745	0	ROBO1
0	-2.57736499395495	0.106	0.643	0	EPHA6
0	-1.6506848917699	0.042	0.516	0	LINC00882
0	1.99265228339422	0.811	0.513	0	ATP6V1A
0	-2.56733311406132	0.063	0.607	0	AC092691.1
0	-4.03349847521917	0.099	0.783	0	IQCJ-SCHIP1
0	2.21899362678176	0.799	0.445	0	SERPINI1
0	-3.10394762641454	0.278	0.862	0	NLGN1
0	-1.76397852320744	0.056	0.543	0	MCF2L2
0	-1.72256297872125	0.054	0.638	0	MUC20-OT1
0	-3.78647349839664	0.366	0.87	0	KCNIP4
0	2.78403139643948	0.988	0.81	0	UCHL1
0	-2.29408351440464	0.075	0.626	0	UBA6-AS1
0	-3.09443420527223	0.066	0.745	0	CCSER1
0	-2.46860343362534	0.119	0.661	0	UNC5C
0	-1.48964086203278	0.026	0.52	0	AC096711.2
0	-2.79443953014611	0.145	0.732	0	MARCH1
0	2.12868570939486	0.911	0.635	0	CPE
0	-4.15162567530213	0.365	0.848	0	GALNTL6
0	-2.08204430472711	0.095	0.621	0	SORBS2
0	2.32508938286368	0.82	0.436	0	SLC6A3
0	-3.95362485055098	0.318	0.922	0	PDE4D
0	2.81238449126486	0.998	0.915	0	MAP1B
0	2.14251663721888	0.859	0.556	0	PJA2
0	1.97014081222264	0.824	0.575	0	KIF3A
0	2.21853701236134	0.804	0.471	0	ANXA6
