p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene
0	-4.15492767008641	0.291	0.913	0	CSMD1
0	-4.15162567530213	0.365	0.848	0	GALNTL6
0	-4.03349847521917	0.099	0.783	0	IQCJ-SCHIP1
0	-3.95362485055098	0.318	0.922	0	PDE4D
0	3.84424725389957	0.996	0.826	0	HSP90AA1
0	-3.78647349839664	0.366	0.87	0	KCNIP4
0	-3.78259209317975	0.178	0.872	0	FRMD4A
0	-3.74181446186811	0.187	0.826	0	DAB1
0	-3.68562133413505	0.152	0.738	0	PRKG1
0	-3.6740488028158	0.137	0.826	0	DSCAM
0	-3.66117787748419	0.319	0.936	0	FAM155A
0	-3.57641815255745	0.196	0.797	0	PCDH15
0	-3.48888927697301	0.448	0.941	0	LRP1B
0	-3.44353355687695	0.103	0.656	0	SGCD
0	-3.42395974712519	0.137	0.775	0	LRRTM4
0	3.41258954959323	0.966	0.566	0	NEFM
0	-3.4038936500651	0.19	0.748	0	ADARB2
0	3.36904688239846	0.821	0.495	0	ALDH1A1
0	-3.3316276512483	0.219	0.838	0	NRG3
0	-3.32911813725684	0.342	0.924	0	KAZN
0	3.32750305854027	0.969	0.456	0	TUBB2A
0	-3.31490267252345	0.217	0.823	0	RORA
0	3.27120454971407	0.963	0.564	0	NEFL
0	3.25364928787232	0.992	0.757	0	HSP90AB1
0	-3.23711049819897	0.1	0.694	0	DLGAP1
0	-3.16830295299747	0.052	0.635	0	AC073050.1
0	3.16746233785502	0.893	0.407	0	NEFH
0	3.16432612178713	0.992	0.762	0	ATP1B1
0	-3.16351669066833	0.24	0.836	0	MACROD2
0	3.1540614708301	0.928	0.551	0	SCG2
0	-3.1362566904381	0.393	0.867	0	RALYL
0	-3.13016668519763	0.179	0.793	0	LRRC4C
0	3.11073220830122	0.906	0.368	0	HSPA8
1.30939337976584e-241	-3.10858436783659	0.136	0.581	4.39131257772068e-237	RBFOX1
0	-3.10512182514732	0.06	0.696	0	SLC44A5
0	-3.10394762641454	0.278	0.862	0	NLGN1
0	-3.10333861281145	0.137	0.694	0	SNTG1
1.84979845118538e-289	-3.09828201652616	0.321	0.765	6.20366906574041e-285	NEAT1
0	-3.0951617607814	0.178	0.915	0	FTX
0	-3.09443420527223	0.066	0.745	0	CCSER1
0	-3.06915333017841	0.386	0.896	0	ADGRB3
0	-3.06861742496514	0.144	0.768	0	AUTS2
0	-3.06635679500014	0.127	0.633	0	NRG1
0	3.0531442891004	0.939	0.585	0	PEG10
0	-3.04920483397509	0.263	0.8	0	DCC
0	-3.04226173715264	0.082	0.636	0	FGF14
0	-3.04225730654	0.249	0.831	0	PDE4B
0	-3.03568646065835	0.223	0.831	0	IL1RAPL1
0	-3.03021546231302	0.289	0.887	0	MAGI2
0	-3.02303460249949	0.042	0.534	0	SGCZ
0	-3.01816121436335	0.337	0.882	0	DLG2
0	3.01647226502373	0.981	0.668	0	GAPDH
0	-3.00477032394821	0.081	0.694	0	AL589740.1
