p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	0.944393379538396	1	0.998	0	0	SCENIC-RunxA-activating-regulon
0	0.612049636878748	1	1	0	0	SCENIC-CG12071-activating-regulon
0	0.624550075650915	1	1	0	0	SCENIC-CG32532-activating-regulon
0	0.512805804601709	1	1	0	0	SCENIC-CG43347-activating-regulon
0	-0.531872481533913	1	1	0	0	SCENIC-CG9932-activating-regulon
0	0.344134767875891	1	1	0	0	SCENIC-Dsp1-activating-regulon
0	0.408387967084642	1	1	0	0	SCENIC-E(bx)-activating-regulon
0	-1.0453997028936	1	1	0	0	SCENIC-Ets98B-activating-regulon
0	0.521754149909224	1	1	0	0	SCENIC-FoxP-activating-regulon
0	-0.838108729616775	1	1	0	0	SCENIC-Hnf4-activating-regulon
0	0.575390456307269	1	1	0	0	SCENIC-Lim1-activating-regulon
0	0.67681471495522	1	1	0	0	SCENIC-Ptx1-activating-regulon
0	-1.01397150444354	1	1	0	0	SCENIC-Sox14-activating-regulon
0	0.674706354998963	1	1	0	0	SCENIC-TfAP-2-activating-regulon
0	0.677315212381531	1	1	0	0	SCENIC-acj6-activating-regulon
0	0.843401308913838	1	1	0	0	SCENIC-bab1-activating-regulon
0	0.256966137259524	1	1	0	0	SCENIC-cg-activating-regulon
0	-0.616382807739158	1	1	0	0	SCENIC-cnc-activating-regulon
0	0.67415766444515	1	1	0	0	SCENIC-dati-activating-regulon
0	-0.816393140233084	1	1	0	0	SCENIC-grh-activating-regulon
0	-0.914240467715334	1	1	0	0	SCENIC-h-activating-regulon
0	0.440215813079079	1	1	0	0	SCENIC-jim-activating-regulon
0	-0.574426108171522	1	1	0	0	SCENIC-kay-activating-regulon
0	0.629519169144782	1	1	0	0	SCENIC-kn-activating-regulon
0	0.408419991359377	1	1	0	0	SCENIC-l(3)neo38-activating-regulon
0	0.541146274119084	1	1	0	0	SCENIC-pros-activating-regulon
0	0.612202845882945	1	1	0	0	SCENIC-rn-activating-regulon
0	-0.628200617034211	1	1	0	0	SCENIC-svp-activating-regulon
0	-0.705800957506817	1	1	0	0	SCENIC-ttk-activating-regulon
0	-0.592814370700414	1	1	0	0	SCENIC-vri-activating-regulon
2.70495769645309e-303	-0.661976661071708	1	1	1.56617050624634e-300	0	SCENIC-CG10462-activating-regulon
9.42952416292494e-303	0.469473735925996	1	1	5.45969449033354e-300	0	SCENIC-CG16779-activating-regulon
1.898612648155e-302	0.637222558108479	1	1	1.09929672328175e-299	0	SCENIC-Six4-activating-regulon
7.7971277933428e-302	0.600575058521792	1	1	4.51453699234548e-299	0	SCENIC-zld-activating-regulon
1.63562389023932e-299	0.445633752544288	1	1	9.47026232448569e-297	0	SCENIC-chinmo-activating-regulon
7.15429487900811e-299	0.799975432608622	1	0.989	4.1423367349457e-296	0	SCENIC-Lim3-activating-regulon
2.56391465534383e-297	0.551976542739709	1	1	1.48450658544408e-294	0	SCENIC-br-activating-regulon
7.60206599818536e-297	0.647392441387578	1	1	4.40159621294932e-294	0	SCENIC-tup-activating-regulon
1.79902664397149e-293	0.416027991159155	1	1	1.04163642685949e-290	0	SCENIC-chn-activating-regulon
2.61195852951861e-291	0.563506670389379	1	1	1.51232398859128e-288	0	SCENIC-dan-activating-regulon
7.02725978908535e-289	0.894857637942991	1	1	4.06878341788042e-286	0	SCENIC-C15-activating-regulon
3.20315707388756e-288	-0.792038535815255	1	1	1.85462794578089e-285	0	SCENIC-srp-activating-regulon
9.21206159481488e-286	-0.550824103206267	1	1	5.33378366339781e-283	0	SCENIC-CG17385-activating-regulon
2.32517489511171e-285	-0.675049613339744	1	1	1.34627626426968e-282	0	SCENIC-SREBP-activating-regulon
3.8514110534956e-284	-0.591703682966728	1	1	2.22996699997395e-281	0	SCENIC-Stat92E-activating-regulon
7.92348518492782e-282	0.555808579821156	1	1	4.58769792207321e-279	0	SCENIC-PHDP-activating-regulon
7.95021485674946e-281	-0.791575277763455	1	1	4.60317440205794e-278	0	SCENIC-sug-activating-regulon
1.15264252828372e-278	0.312505120273557	1	1	6.67380023876276e-276	0	SCENIC-Thd1-activating-regulon
3.22471229084283e-278	0.630539060288982	1	1	1.867108416398e-275	0	SCENIC-Rfx-activating-regulon
4.8065913193788e-278	0.446235362004324	1	1	2.78301637392032e-275	0	SCENIC-luna-activating-regulon
1.07168340000483e-276	-0.214511909690625	1	1	6.20504688602796e-274	0	SCENIC-REPTOR-activating-regulon
1.13839312241438e-273	-0.833625811076162	1	1	6.59129617877924e-271	0	SCENIC-CG30431-activating-regulon
2.40688859686809e-272	-0.564801538304666	1	1	1.39358849758662e-269	0	SCENIC-foxo-activating-regulon
5.26321141740677e-265	-0.383480492395928	1	1	3.04739941067852e-262	0	SCENIC-Eip93F-activating-regulon
