p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
4.7435640941756e-281	0.511221605854257	1	1	2.74652361052767e-278	0	SCENIC-pros-activating-regulon
8.77893766831201e-253	0.414413975496439	1	1	5.08300490995265e-250	0	SCENIC-jim-activating-regulon
2.01919033705527e-244	0.64351069631341	1	1	1.169111205155e-241	0	SCENIC-dati-activating-regulon
4.93906973187661e-237	0.65156600827821	1	1	2.85972137475656e-234	0	SCENIC-acj6-activating-regulon
4.09006215826912e-233	0.579087788361274	1	1	2.36814598963782e-230	0	SCENIC-CG12071-activating-regulon
3.67900645955847e-229	0.87911017172009	1	0.998	2.13014474008436e-226	0	SCENIC-RunxA-activating-regulon
4.71933998120551e-226	0.655562674330316	1	1	2.73249784911799e-223	0	SCENIC-TfAP-2-activating-regulon
5.76315232250843e-214	0.607719034195415	1	1	3.33686519473238e-211	0	SCENIC-kn-activating-regulon
1.5622966178937e-206	0.602900481841746	1	1	9.0456974176045e-204	0	SCENIC-rn-activating-regulon
8.49240724663316e-201	0.321851198409943	1	1	4.9171037958006e-198	0	SCENIC-Dsp1-activating-regulon
2.20432758346092e-184	0.485416096818856	1	1	1.27630567082387e-181	0	SCENIC-FoxP-activating-regulon
8.04423652772475e-183	-0.784990984793054	1	1	4.65761294955263e-180	0	SCENIC-Hnf4-activating-regulon
1.57321206242205e-178	0.391546754831488	1	1	9.10889784142365e-176	0	SCENIC-E(bx)-activating-regulon
1.81842903189989e-178	-0.557099915972747	1	1	1.05287040947003e-175	0	SCENIC-cnc-activating-regulon
7.31288068419924e-178	0.796230382452422	1	1	4.23415791615136e-175	0	SCENIC-bab1-activating-regulon
3.48956114963809e-176	0.526179226217422	1	1	2.02045590564045e-173	0	SCENIC-Lim1-activating-regulon
1.14837868259204e-174	-0.667017216663473	1	1	6.64911257220791e-172	0	SCENIC-ttk-activating-regulon
4.27209049319584e-171	0.629370334871718	1	1	2.47354039556039e-168	0	SCENIC-tup-activating-regulon
1.53647731168149e-170	0.637198614948316	1	1	8.89620363463584e-168	0	SCENIC-Ptx1-activating-regulon
4.03229237775025e-170	0.899811014208495	1	1	2.3346972867174e-167	0	SCENIC-C15-activating-regulon
5.91044746719875e-170	-0.983112136865515	1	1	3.42214908350808e-167	0	SCENIC-Ets98B-activating-regulon
1.70905571982685e-167	0.594371091435655	1	1	9.89543261779748e-165	0	SCENIC-CG32532-activating-regulon
1.97788561785574e-166	0.483270054948105	1	1	1.14519577273847e-163	0	SCENIC-CG43347-activating-regulon
3.31311226234593e-166	0.779069183436916	1	0.991	1.9182919998983e-163	0	SCENIC-Lim3-activating-regulon
7.70088267756074e-166	0.522469936521756	1	1	4.45881107030767e-163	0	SCENIC-br-activating-regulon
1.93569212703135e-165	-0.869195876262636	1	1	1.12076574155115e-162	0	SCENIC-h-activating-regulon
1.50513326517479e-162	0.571622263509922	1	1	8.71472160536203e-160	0	SCENIC-zld-activating-regulon
1.59108503049997e-162	-0.572724805011719	1	1	9.21238232659485e-160	0	SCENIC-svp-activating-regulon
3.54235464047051e-162	0.243537433120432	1	1	2.05102333683242e-159	0	SCENIC-cg-activating-regulon
2.86452544896384e-161	-0.48608988394355	1	1	1.65856023495006e-158	0	SCENIC-CG9932-activating-regulon
2.02209616340914e-160	0.618247040111822	1	1	1.17079367861389e-157	0	SCENIC-Six4-activating-regulon
2.21869413894786e-160	0.439522194391819	1	1	1.28462390645081e-157	0	SCENIC-CG16779-activating-regulon
3.7044947585283e-160	0.375816412907669	1	1	2.14490246518789e-157	0	SCENIC-l(3)neo38-activating-regulon
1.94695961342282e-158	0.418897906803359	1	1	1.12728961617181e-155	0	SCENIC-chinmo-activating-regulon
6.61156375364002e-157	-0.502012543264673	1	1	3.82809541335757e-154	0	SCENIC-kay-activating-regulon
1.15937666224028e-156	0.550949280391886	1	1	6.71279087437124e-154	0	SCENIC-PHDP-activating-regulon
1.7028590187799e-155	-0.609079304142668	1	1	9.85955371873562e-153	0	SCENIC-CG10462-activating-regulon
3.48193808430727e-155	0.537188665391251	1	1	2.01604215081391e-152	0	SCENIC-dan-activating-regulon
