p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
6.4462544172034e-228	0.575515717954714	1	1	3.73238130756077e-225	0	SCENIC-pros-activating-regulon
5.0297336580549e-210	0.709427328705708	1	1	2.91221578801379e-207	0	SCENIC-dati-activating-regulon
2.46666790314173e-204	0.470250420135288	1	1	1.42820071591906e-201	0	SCENIC-jim-activating-regulon
1.12623468374836e-199	0.657528141873777	1	1	6.52089881890302e-197	0	SCENIC-CG12071-activating-regulon
2.35633013106488e-194	1.02558922127975	1	0.998	1.36431514588657e-191	0	SCENIC-RunxA-activating-regulon
5.02921378946475e-180	-0.624621486556062	1	1	2.91191478410009e-177	0	SCENIC-cnc-activating-regulon
1.66461211554978e-178	0.376689723663847	1	1	9.63810414903325e-176	0	SCENIC-Dsp1-activating-regulon
4.81228553518342e-177	0.708189995948204	1	1	2.7863133248712e-174	0	SCENIC-acj6-activating-regulon
4.24960924916727e-174	0.704616557970123	1	1	2.46052375526785e-171	0	SCENIC-TfAP-2-activating-regulon
1.9938695489134e-171	-0.828698863923739	1	1	1.15445046882086e-168	0	SCENIC-Hnf4-activating-regulon
3.63420431398295e-167	0.638800816657642	1	1	2.10420429779613e-164	0	SCENIC-Lim1-activating-regulon
5.91933190759863e-164	-0.603118699531886	1	1	3.42729317449961e-161	0	SCENIC-kay-activating-regulon
3.04523427371946e-163	0.297689359658782	1	1	1.76319064448357e-160	0	SCENIC-cg-activating-regulon
1.66607935536639e-159	0.558288655644559	1	1	9.64659946757139e-157	0	SCENIC-FoxP-activating-regulon
7.08066846758752e-158	-0.591937542599822	1	1	4.09970704273318e-155	0	SCENIC-vri-activating-regulon
1.39719724546819e-157	-0.690473254546222	1	1	8.08977205126082e-155	0	SCENIC-ttk-activating-regulon
1.40655116064096e-156	0.652707575281219	1	1	8.14393122011113e-154	0	SCENIC-kn-activating-regulon
2.94917277768235e-156	-0.803881675127385	1	1	1.70757103827808e-153	0	SCENIC-grh-activating-regulon
2.4294157021574e-155	-0.963021028234124	1	1	1.40663169154913e-152	0	SCENIC-Sox14-activating-regulon
4.07136031335355e-154	0.733892080402484	1	1	2.35731762143171e-151	0	SCENIC-Ptx1-activating-regulon
1.17644058500842e-153	-0.535296358383479	1	1	6.81159098719875e-151	0	SCENIC-CG9932-activating-regulon
5.52222456149603e-152	-0.636924671292186	1	1	3.1973680211062e-149	0	SCENIC-svp-activating-regulon
7.45170077673641e-152	-0.867087413212421	1	1	4.31453474973038e-149	0	SCENIC-h-activating-regulon
1.11206892535372e-148	0.43563423589572	1	1	6.43887907779804e-146	0	SCENIC-E(bx)-activating-regulon
6.09922513627627e-148	-0.634350359857287	1	1	3.53145135390396e-145	0	SCENIC-Stat92E-activating-regulon
9.64471576540863e-146	-0.722114451407793	1	1	5.5842904281716e-143	0	SCENIC-SREBP-activating-regulon
1.07154423582806e-145	0.90872942204845	1	1	6.20424112544446e-143	0	SCENIC-bab1-activating-regulon
6.65280385199464e-145	0.444538820270518	1	1	3.8519734303049e-142	0	SCENIC-l(3)neo38-activating-regulon
8.81824965424418e-145	-0.686658541147818	1	1	5.10576654980738e-142	0	SCENIC-CG10462-activating-regulon
1.60549468536937e-144	0.622528377797851	1	1	9.29581422828866e-142	0	SCENIC-rn-activating-regulon
2.08286286602233e-144	0.667041074481834	1	1	1.20597759942693e-141	0	SCENIC-CG32532-activating-regulon
2.32434962833976e-142	-0.808834314504333	1	1	1.34579843480872e-139	0	SCENIC-srp-activating-regulon
7.66836008784748e-142	0.67627712469778	1	1	4.43998049086369e-139	0	SCENIC-Six4-activating-regulon
4.13837604458271e-141	-0.653773869999195	1	1	2.39611972981339e-138	0	SCENIC-Aef1-activating-regulon
4.38598506475023e-141	-0.227967145946832	1	1	2.53948535249038e-138	0	SCENIC-REPTOR-activating-regulon
5.91464110853985e-141	0.545351299202066	1	1	3.42457720184458e-138	0	SCENIC-CG43347-activating-regulon
3.06115835201847e-139	-0.809234263803902	1	1	1.7724106858187e-136	0	SCENIC-sug-activating-regulon
6.97385020893522e-139	-0.573442282712631	1	1	4.03785927097349e-136	0	SCENIC-CG17385-activating-regulon
1.77798878000974e-136	0.499683696195216	1	1	1.02945550362564e-133	0	SCENIC-CG16779-activating-regulon
2.36421878222824e-136	-1.0287490450106	1	1	1.36888267491015e-133	0	SCENIC-Ets98B-activating-regulon
4.75900545751049e-136	-0.707683372960584	1	1	2.75546415989857e-133	0	SCENIC-usp-activating-regulon
1.52989869602433e-135	0.474164560335761	1	1	8.8581134499809e-133	0	SCENIC-chinmo-activating-regulon
3.54497299040953e-135	-0.648109032459304	1	1	2.05253936144712e-132	0	SCENIC-Xbp1-activating-regulon
3.73485853022639e-135	0.443415559406005	1	1	2.16248308900108e-132	0	SCENIC-chn-activating-regulon
6.38508299849866e-135	-0.849139851062896	1	1	3.69696305613073e-132	0	SCENIC-CG30431-activating-regulon
6.51006397291499e-134	0.642004475298025	1	1	3.76932704031778e-131	0	SCENIC-zld-activating-regulon
1.04809516117079e-133	-0.647914410339372	1	1	6.06847098317886e-131	0	SCENIC-HmgZ-activating-regulon
1.46842340346155e-133	-0.391328771321664	1	1	8.50217150604238e-131	0	SCENIC-Eip93F-activating-regulon
1.70783216526971e-132	-0.65270857581914	1	1	9.8883482369116e-130	0	SCENIC-CG7987-activating-regulon
2.4870488898056e-132	-0.774588518643689	1	1	1.44000130719744e-129	0	SCENIC-Rel-activating-regulon
4.43088105072902e-132	0.603222170061721	1	1	2.5654801283721e-129	0	SCENIC-dan-activating-regulon
4.39484299805008e-131	-0.669471034313584	1	1	2.544614095871e-128	0	SCENIC-stc-activating-regulon
