p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	annotation
5.5734845488491e-11	1.57038658922239	0.537	0	1.33384632223057e-06	Ldh	adult brain cell body glial cell
1.21359922602144e-10	-1.2946514434617	0.195	0.69	2.90438566771451e-06	Obp99b	adult brain cell body glial cell
8.57961394384702e-10	-1.11930902035516	0.085	0.569	2.05327320904147e-05	GstD9	adult brain cell body glial cell
7.1785932378781e-09	1.19054375479917	0.902	0.828	0.000171798093368899	hzg	adult brain cell body glial cell
1.66928737460873e-08	1.4320794840691	0.524	0.086	0.00039949385449136	Dgp-1	adult brain cell body glial cell
2.34679343571575e-08	-1.18954268761823	0.476	0.897	0.000561634605035494	MFS9	adult brain cell body glial cell
4.96714219796831e-08	-1.05188256459465	0.573	0.948	0.00118873647081778	Sod3	adult brain cell body glial cell
8.52593803945329e-08	-0.941473436374609	0.939	0.983	0.00204042749160196	hoe1	adult brain cell body glial cell
1.30291787972037e-07	-0.764358078862969	0.866	1	0.0031181430697468	Argk	adult brain cell body glial cell
2.1705921794624e-07	0.732936694155841	1	1	0.00519466120388942	Ald1	adult brain cell body glial cell
8.98049933846542e-07	-0.881554618435392	0.39	0.759	0.0214921310168154	RR48810-transposable-element	adult brain cell body glial cell
8.83580953632419e-09	1.93583259863334	0.455	0	0.000211458593823311	Ldh	adult brain perineurial glial cell
1.26289506118374e-08	-1.84369874314861	0.152	0.614	0.000302236046042494	Obp99b	adult brain perineurial glial cell
1.46238317415014e-06	-1.64254746519641	0.288	0.649	0.0349977541237612	RR48373-transposable-element	adult brain perineurial glial cell
5.60796447473535e-15	-3.94684612659413	0.544	0.951	1.34209805809366e-10	CG45263	adult lamina epithelial/marginal glial cell
5.39577177413313e-08	1.74674296178601	0.544	0.024	0.00129131610098554	asRNA:CR45600	adult lamina epithelial/marginal glial cell
1.98382013938177e-07	1.40300817319602	0.485	0	0.00474767835756844	CG6912	adult lamina epithelial/marginal glial cell
1.03722513000268e-06	1.55878246516745	0.441	0	0.0248228718112242	Ldh	adult lamina epithelial/marginal glial cell
7.78050262633987e-21	-1.92350792239474	0.121	0.608	1.86202988853566e-16	Obp99b	adult optic chiasma glial cell
2.41743055833741e-16	1.72724315716345	0.431	0	5.7853948122131e-12	Ldh	adult optic chiasma glial cell
4.4892648725895e-11	1.19798339550303	0.345	0.025	1.07437086930812e-06	Dro	adult optic chiasma glial cell
1.15099736158054e-08	0.720544503977604	0.253	0.008	0.000275456688573454	CG6912	adult optic chiasma glial cell
3.370431380814e-08	1.02196113487896	0.753	0.492	0.000806611638056406	Xrp1	adult optic chiasma glial cell
3.57939375076377e-08	1.10789575352256	0.776	0.492	0.000856620512432786	hzg	adult optic chiasma glial cell
4.19786480782357e-08	0.994327206211829	0.5	0.183	0.00100463300580834	CG9689	adult optic chiasma glial cell
8.04370775523998e-08	0.677462297872054	0.23	0.008	0.00192502013998403	asRNA:CR45600	adult optic chiasma glial cell
9.87193143355965e-08	0.622664584194408	0.23	0.008	0.0023625506306795	AttC	adult optic chiasma glial cell
1.88445238473988e-07	0.651442443258757	0.201	0	0.00450987144715948	MFS3	adult optic chiasma glial cell
2.71071722875429e-07	-1.01805492231556	0.264	0.542	0.00648728847185476	RR48373-transposable-element	adult optic chiasma glial cell
3.8043529513797e-07	1.16767631124783	0.615	0.333	0.00910457748324188	Ntan1	adult optic chiasma glial cell
9.19985029154566e-07	0.70434466512112	0.828	0.567	0.0220170817177271	Mkp3	adult optic chiasma glial cell
1.38651008237745e-06	0.899691644465537	0.684	0.425	0.0331819592914572	Frl	adult optic chiasma glial cell
1.40756173282964e-06	0.879648715623062	0.264	0.05	0.033685767390079	Arc1	adult optic chiasma glial cell
1.6543915781437e-06	0.856111739413409	0.362	0.117	0.0395928992481351	BomS1	adult optic chiasma glial cell
