	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
Ldh	0	6.75830002343717	0.432	0.01	0
Obp99b	0	-2.96863878898408	0.127	0.528	0
hzg	0	2.23287939936126	0.641	0.341	0
Dgp-1	0	3.09829624456057	0.361	0.084	0
Dro	0	3.1056486275816	0.298	0.04	0
RR48373-transposable-element	0	-1.39177116774851	0.291	0.54	0
Drs	0	1.57413986734324	0.379	0.138	0
Arc1	0	3.15873921839291	0.264	0.032	0
Mtk	0	2.11341192379105	0.315	0.084	0
MFS3	0	4.97868060641293	0.191	0.007	0
CG6912	0	3.48302310670703	0.191	0.02	0
AttC	0	3.39634884089278	0.188	0.022	0
FBti0063565	0	6.75135138885803	0.164	0.003	0
asRNA:CR45600	0	4.27788563636181	0.148	0.01	0
CG8620	0	7.05769085534272	0.129	0.002	0
Ald1	0	0.873859671363618	0.944	0.867	0
y	1.31920753977303e-307	6.19962430052016	0.119	0.002	3.15712748418482e-303
Tspo	1.05451735884576e-297	1.7187493588	0.303	0.111	2.52367094318968e-293
CG33978	5.75123005230295e-292	1.63760799982328	0.375	0.171	1.37638437611714e-287
Cyp4e3	2.67354601966596e-290	4.07939004739398	0.135	0.011	6.39833033426458e-286
CG10960	6.96661696079363e-277	1.27548325386131	0.592	0.413	1.66725077105713e-272
ND-75	2.53094399731571e-276	-1.45172059621427	0.181	0.378	6.05705517437596e-272
Xrp1	2.22122060957836e-268	0.90975057907825	0.595	0.403	5.31582516284292e-264
FBti0019183	1.57402881225016e-266	2.58885360965168	0.255	0.089	3.76696575347708e-262
Lk6	1.23792551645457e-262	0.515203330336565	0.921	0.877	2.96260334597907e-258
Pgi	9.63399320438422e-258	1.07570772695131	0.555	0.367	2.30560725367323e-253
CG7130	1.78213940695117e-240	3.55692357315453	0.123	0.014	4.26501602871555e-236
Myc	8.9281919563935e-234	1.40845176046435	0.346	0.166	2.13669489900409e-229
Proc	1.54516800434552e-223	1.51759745996446	0.29	0.122	3.6978960679997e-219
Arc2	4.36619039401118e-219	2.75886177603453	0.123	0.017	1.04491668509475e-214
retinin	3.52420792150278e-214	0.622910153110678	0.78	0.61	8.43413439774045e-210
IscU	6.00018963891258e-214	0.819531932507264	0.683	0.545	1.43596538438456e-209
CG46385	1.74464636264845e-213	0.576278522374006	0.787	0.674	4.17528767509027e-209
CG11458	8.60941665691634e-213	1.13274619521972	0.333	0.158	2.06040559433322e-208
FBti0019603	7.11252830811902e-211	1.08165621354811	0.461	0.281	1.70217027469904e-206
FBti0019110	1.97714119534599e-205	3.19269871233309	0.117	0.017	4.73169430870203e-201
FBti0018968	5.33215930284849e-198	2.41581634132964	0.154	0.039	1.2760923643577e-193
CG6654	5.74679948720156e-197	-2.52394247574718	0.023	0.127	1.37532405327708e-192
Cpr72Ec	5.88650000976902e-196	0.902561057938556	0.396	0.217	1.40875718233792e-191
RpS12	1.64101275925317e-195	0.547518873932085	0.83	0.736	3.92727173544468e-191
Syn1	5.53791667236129e-193	-1.18827283114583	0.264	0.424	1.3253342180295e-188
7B2	1.77090675474265e-185	-0.5595772486011	0.763	0.826	4.23813404545011e-181
Gadd45	4.4487964388976e-184	2.5902013751082	0.108	0.017	1.06468596375697e-179
Tsf1	3.80414738407633e-183	0.723751911971629	0.617	0.444	9.10408551957147e-179
FBti0020099	2.42115830005434e-182	4.22398341685342	0.083	0.005	5.79431604369005e-178
CG11313	1.73724466619187e-181	8.14399563832689	0.069	0	4.15757393513038e-177
bor	3.2401151538737e-180	1.72100250864849	0.193	0.068	7.75424358625054e-176
TotA	1.03513235293162e-176	-1.93563509604562	0.069	0.192	2.47727874703596e-172
Pepck2	6.83801587973664e-168	2.88772203093927	0.098	0.015	1.63647396033857e-163
AttA	1.01523493941124e-160	3.75392917041686	0.082	0.008	2.42966025699898e-156
Hex-A	1.16627646783463e-156	0.612112920367626	0.691	0.576	2.79113284282185e-152
BomS1	1.81203063925322e-154	1.00403503729445	0.289	0.146	4.33655172586082e-150
asrij	1.69496506809227e-148	1.46690963673909	0.221	0.099	4.05639040095842e-144
FBti0018967	6.86105934141397e-147	3.60165234029783	0.074	0.007	1.64198872158719e-142
Fdx1	1.00033484847385e-145	1.67812702040302	0.154	0.052	2.39400135936763e-141
FBti0019193	7.69993753991507e-145	2.91826327130002	0.083	0.012	1.84274905205247e-140
bnl	1.31676619443617e-144	1.47564001003378	0.161	0.056	3.15128485652464e-140
Hsp26	1.48624105680086e-144	2.24371493216624	0.182	0.072	3.55687209713581e-140
Gapdh2	1.75626867790245e-144	0.553676617235953	0.725	0.609	4.20310219995614e-140
28SrRNA-Psi:CR45859	6.61479335270712e-141	-0.987912498318359	0.212	0.35	1.58305234516987e-136
CG4829	1.18848201527698e-138	1.50265504484726	0.287	0.16	2.84427515896086e-134
FBti0019469	9.93296479571964e-138	2.45280391705288	0.111	0.028	2.37715713491163e-133
CG2064	1.11950903018681e-137	2.41384427413432	0.094	0.018	2.67920901104307e-133
FBti0019000	1.76642596597364e-137	-1.39332304005831	0.07	0.177	4.22741062176811e-133
sr	3.60440050395745e-134	0.898500626675834	0.32	0.179	8.62605128607098e-130
DptA	1.0509075494799e-132	1.94261128877196	0.112	0.03	2.5150319474153e-128
IBIN	5.16903874338934e-132	1.65558933131893	0.117	0.033	1.23705435206794e-127
FBti0019285	2.23108474800467e-131	-2.57870226244738	0.016	0.086	5.33943201892479e-127
FoxP	3.18867552437099e-129	-0.506439964902394	0.687	0.755	7.63113826492464e-125
CG8654	1.03480050442063e-127	1.80396124660258	0.139	0.048	2.47648456717946e-123
eEF2	3.81985199625185e-127	0.504650677288272	0.766	0.679	9.14166979742994e-123
myo	1.65031162828902e-125	1.15488721412864	0.323	0.193	3.94952578882128e-121
FBti0019405	4.36214715481976e-123	3.46014528926105	0.063	0.006	1.04394905709147e-118
FBti0020127	6.49479085786838e-119	2.50908103270477	0.08	0.015	1.55433334810506e-114
FBti0019466	8.01673987051334e-118	-4.39078266358193	0.006	0.06	1.91856618581125e-113
asRNA:CR44053	1.04441649031732e-117	1.65066244953104	0.158	0.065	2.49949754462741e-113
DptB	2.40122735324868e-116	2.23133121508817	0.09	0.021	5.74661730179473e-112
RR50375-transposable-element	1.3146960409842e-115	2.09671087119178	0.091	0.022	3.14633056528338e-111
InR	4.18015566627467e-115	0.681978315558186	0.517	0.383	1.00039485405285e-110
BomS3	4.57447229139134e-115	0.801976340194148	0.418	0.282	1.09476270877578e-110
aay	7.74934176245132e-115	0.774660649586121	0.402	0.266	1.85457247058985e-110
FBti0059745	1.85423001160857e-114	3.62494003701151	0.056	0.005	4.43754326378164e-110
CG5079	5.67127040844387e-114	1.58596212549864	0.164	0.069	1.35724843414879e-109
cv-2	1.52455246126424e-112	1.20229985093997	0.201	0.096	3.64855895029757e-108
FBti0020120	3.21991717831314e-108	-1.62494573523155	0.05	0.133	7.70590579113901e-104
Ir76a	1.00740437500608e-107	2.79460751485717	0.058	0.007	2.41092015026455e-103
BomBc3	1.06709609296287e-107	1.43147113736893	0.136	0.052	2.55377436967873e-103
sima	8.59502793993711e-105	0.588731534547113	0.838	0.796	2.05696208658575e-100
puml	1.37158669140212e-104	1.11460658332446	0.192	0.093	3.28248126986355e-100
FBti0019059	1.60552765248999e-104	2.23017788955536	0.069	0.013	3.84234877793906e-100
FBti0019113	3.73143356785529e-104	3.13489804514387	0.055	0.006	8.93006681459128e-100
lncRNA:CR44522	4.41454177370509e-103	8.07476063237832	0.039	0	1.0564881372831e-98
Treh	2.0730841251839e-102	0.731786941009022	0.378	0.25	4.96130492839011e-98
CG9705	8.48794692763657e-102	1.05189593367678	0.262	0.152	2.03133545872198e-97
NaPi-III	1.53438425048913e-101	0.679900558940094	0.613	0.517	3.67208838827058e-97
RR48386-transposable-element	5.1231549114548e-101	-4.4216602539806	0.003	0.046	1.22607343340936e-96
BomT3	7.08379200733141e-99	0.651571831522405	0.413	0.282	1.69529310319455e-94
Eip63E	9.33557863394151e-97	0.501224561745474	0.754	0.687	2.23419067867488e-92
path	3.34058072514737e-94	0.630477826291219	0.478	0.356	7.99467779142268e-90
FBti0018891	3.80225855565657e-94	7.76293197557323	0.036	0	9.0995651753973e-90
FBti0020031	5.56062456235927e-94	2.86603315893022	0.052	0.007	1.33076867026382e-89
Uhg1	5.76790423773369e-94	1.32278377027117	0.293	0.189	1.38037484217443e-89
Pgm1	1.88364128472059e-93	0.640156748700189	0.352	0.23	4.50793032259332e-89
RR48375-transposable-element	2.06543802568704e-93	-1.85418474110658	0.031	0.096	4.94300628307423e-89
CG44004	2.90218977299974e-92	2.93684770154038	0.053	0.007	6.94552056474297e-88
CG42392	5.47723256079584e-92	0.637850185474238	0.425	0.303	1.31081129644966e-87
CG10916	1.32290848247443e-89	1.47197517633353	0.117	0.045	3.1659845802578e-85
ppk28	5.04476282335709e-89	2.28379585875956	0.066	0.015	1.20731263888582e-84
Naprt	1.72169929438277e-88	0.88337353639298	0.345	0.237	4.12037075131684e-84
CG18213	4.74817998715142e-88	2.2243540360958	0.065	0.014	1.13633443452508e-83
CG11052	2.40127339513467e-87	2.69266189779638	0.052	0.008	5.7467274892363e-83
CG3036	3.76826778325967e-87	1.00654251547429	0.209	0.113	9.01821845889704e-83
Sam-S	1.43395249542516e-85	0.615371685435727	0.529	0.422	3.43173511205149e-81
pre-rRNA:CR45845	1.33583210353292e-84	2.74306290772726	0.056	0.01	3.19691339017499e-80
FBti0019136	1.88304044280315e-83	2.62284171453206	0.053	0.009	4.50649238771651e-79
lncRNA:CR44129	4.76854567699287e-82	1.30045980493084	0.106	0.04	1.14120835141793e-77
FBti0018970	5.31614692273631e-82	3.04637158411872	0.042	0.004	1.27226028154925e-77
AnxB11	1.09070929638506e-80	0.901889031189982	0.182	0.096	2.61028548810873e-76
FBti0019117	3.47126546102847e-80	2.68688892557317	0.046	0.007	8.30743250133333e-76
CG5071	6.59922345375838e-80	1.25845416869199	0.152	0.074	1.57932615695345e-75
fit	1.30933088493959e-79	-1.64057563351718	0.029	0.088	3.13349067383743e-75
Klp54D	1.58853739939366e-79	2.52363153298737	0.048	0.007	3.80168770422891e-75
