p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	annotation
5.5734845488491e-11	6.84496559225785	0.537	0	1.33384632223057e-06	Ldh	adult brain cell body glial cell
1.21359922602143e-10	-2.69597635644556	0.195	0.69	2.90438566771449e-06	Obp99b	adult brain cell body glial cell
8.57961394384702e-10	-2.39928281082318	0.085	0.569	2.05327320904147e-05	GstD9	adult brain cell body glial cell
7.1785932378781e-09	1.41354054996307	0.902	0.828	0.000171798093368899	hzg	adult brain cell body glial cell
1.66928737460873e-08	4.24591455475292	0.524	0.086	0.00039949385449136	Dgp-1	adult brain cell body glial cell
2.34679343571575e-08	-1.59950337529526	0.476	0.897	0.000561634605035494	MFS9	adult brain cell body glial cell
4.96714219796831e-08	-1.39066405597168	0.573	0.948	0.00118873647081778	Sod3	adult brain cell body glial cell
8.52593803945329e-08	-1.00689341378151	0.939	0.983	0.00204042749160196	hoe1	adult brain cell body glial cell
1.30291787972037e-07	-0.876774457101023	0.866	1	0.0031181430697468	Argk	adult brain cell body glial cell
2.1705921794624e-07	0.790743943435888	1	1	0.00519466120388942	Ald1	adult brain cell body glial cell
8.98049933846542e-07	-1.43152271145573	0.39	0.759	0.0214921310168154	RR48810-transposable-element	adult brain cell body glial cell
8.83580953632414e-09	7.33936002796921	0.455	0	0.000211458593823309	Ldh	adult brain perineurial glial cell
1.26289506118374e-08	-3.12787136181771	0.152	0.614	0.000302236046042494	Obp99b	adult brain perineurial glial cell
1.46238317415014e-06	-2.32435193235021	0.288	0.649	0.0349977541237612	RR48373-transposable-element	adult brain perineurial glial cell
5.60796447473535e-15	-4.30808971813675	0.544	0.951	1.34209805809366e-10	CG45263	adult lamina epithelial/marginal glial cell
5.39577177413313e-08	5.45256568876676	0.544	0.024	0.00129131610098554	asRNA:CR45600	adult lamina epithelial/marginal glial cell
1.98382013938177e-07	6.08806595373376	0.485	0	0.00474767835756844	CG6912	adult lamina epithelial/marginal glial cell
1.03722513000268e-06	6.32896275858223	0.441	0	0.0248228718112241	Ldh	adult lamina epithelial/marginal glial cell
7.78050262633987e-21	-3.57921342403589	0.121	0.608	1.86202988853566e-16	Obp99b	adult optic chiasma glial cell
2.41743055833741e-16	8.11895708719109	0.431	0	5.7853948122131e-12	Ldh	adult optic chiasma glial cell
4.4892648725895e-11	4.72536962998065	0.345	0.025	1.07437086930812e-06	Dro	adult optic chiasma glial cell
1.15099736158054e-08	4.96204918634286	0.253	0.008	0.000275456688573454	CG6912	adult optic chiasma glial cell
3.370431380814e-08	1.28910707321457	0.753	0.492	0.000806611638056406	Xrp1	adult optic chiasma glial cell
3.57939375076377e-08	1.38984617369097	0.776	0.492	0.000856620512432786	hzg	adult optic chiasma glial cell
4.19786480782357e-08	1.40632122536032	0.5	0.183	0.00100463300580834	CG9689	adult optic chiasma glial cell
8.04370775523998e-08	4.81790868611006	0.23	0.008	0.00192502013998403	asRNA:CR45600	adult optic chiasma glial cell
9.87193143355969e-08	3.77431124045829	0.23	0.008	0.00236255063067951	AttC	adult optic chiasma glial cell
1.88445238473988e-07	6.11224557337243	0.201	0	0.00450987144715948	MFS3	adult optic chiasma glial cell
2.71071722875429e-07	-1.60889304754563	0.264	0.542	0.00648728847185476	RR48373-transposable-element	adult optic chiasma glial cell
3.8043529513797e-07	1.46115860570423	0.615	0.333	0.00910457748324188	Ntan1	adult optic chiasma glial cell
9.19985029154566e-07	0.803308258503848	0.828	0.567	0.0220170817177271	Mkp3	adult optic chiasma glial cell
1.38651008237745e-06	1.11643818945351	0.684	0.425	0.0331819592914572	Frl	adult optic chiasma glial cell
1.40756173282964e-06	3.54045653835409	0.264	0.05	0.033685767390079	Arc1	adult optic chiasma glial cell
1.6543915781437e-06	1.94815158181472	0.362	0.117	0.0395928992481351	BomS1	adult optic chiasma glial cell
1.67056035509033e-06	2.4955476414094	0.466	0.208	0.0399798504180217	Mmp1	adult optic chiasma glial cell
1.79472148802797e-06	-5.84018455553161	0	0.125	0.0429512746514853	CG6654	adult optic chiasma glial cell
2.22050050861814e-19	7.25277642367507	0.556	0.009	5.31410181722493e-15	asRNA:CR45600	adult reticular neuropil associated glial cell
2.25081969566209e-18	5.9765221647952	0.546	0.018	5.38666169565851e-14	CG6912	adult reticular neuropil associated glial cell
8.84650445603054e-17	-3.28660406640351	0.111	0.658	2.11714544641723e-12	Obp99b	adult reticular neuropil associated glial cell
1.86406488659397e-15	4.63715857037033	0.481	0.018	4.4610800865967e-11	Ldh	adult reticular neuropil associated glial cell
5.75863577763733e-08	6.30269682550526	0.231	0	0.00137815671430417	MFS3	adult reticular neuropil associated glial cell
3.33564497899012e-07	0.75611457308337	0.981	0.93	0.00798286556371915	Ald1	adult reticular neuropil associated glial cell
5.66987979744045e-07	1.496692150759	0.38	0.096	0.0135691563312345	Arc1	adult reticular neuropil associated glial cell
1.50616524568275e-06	-3.71193663491517	0.046	0.281	0.0360455466596796	TotA	adult reticular neuropil associated glial cell
2.21439595235761e-07	-1.07292063154527	0.889	0.95	0.00529949239318223	CG2016	centrifugal neuron C2
3.09040239566824e-07	7.22121612672861	0.238	0	0.00739595101331323	Ldh	centrifugal neuron C2
3.60743318150086e-07	4.82292844911494	0.286	0.02	0.00863330908996787	CG33978	centrifugal neuron C2
8.97664348796856e-07	-0.785518630964722	0.873	0.98	0.0214829031954064	ctp	centrifugal neuron C2
4.35851512414752e-19	6.35093024361396	0.261	0.004	1.04307983951099e-14	Ldh	cholinergic neuron
5.10896421015064e-19	-2.57828601134105	0.069	0.409	1.22267731477325e-14	Obp99b	cholinergic neuron
6.28415180326411e-14	4.4069972195491	0.233	0.021	1.50392320955717e-09	CG33978	cholinergic neuron
9.3460132445936e-14	-1.47528391711257	0.269	0.577	2.23668788969614e-09	RR48373-transposable-element	cholinergic neuron
1.9555916348359e-11	1.61691184522503	0.453	0.196	4.68012190048929e-07	hzg	cholinergic neuron
8.44290999400211e-10	7.60355954495127	0.127	0	2.02055721976459e-05	FBti0063565	cholinergic neuron
1.54870676105115e-09	-0.718127438029954	0.755	0.879	3.70636502054762e-05	7B2	cholinergic neuron
5.86006241427119e-09	1.79766032582814	0.302	0.1	0.000140243013698338	aay	cholinergic neuron
1.51502584491867e-08	-2.34485052887386	0.049	0.217	0.000362575985205936	ND-75	cholinergic neuron
5.72629159753774e-08	0.515794372927542	0.882	0.815	0.00137041610512273	Ald1	cholinergic neuron
1.38475133931762e-07	1.61205077506527	0.257	0.089	0.00331398690525492	Drs	cholinergic neuron
2.26117738860367e-07	1.43220555048065	0.298	0.117	0.0054114497264063	sr	cholinergic neuron
4.4458913368317e-07	2.10597747646397	0.155	0.028	0.0106399071473056	Dro	cholinergic neuron
9.90218063866786e-07	0.630792322154907	0.71	0.534	0.0236978987044599	CG46385	cholinergic neuron
1.00916635303391e-06	0.788517508746557	0.629	0.42	0.0241513691608076	ninaC	cholinergic neuron
1.34918799739792e-06	5.17852301868232	0.09	0.004	0.032288767153727	Arc1	cholinergic neuron
1.36948640066052e-06	-1.20842446025175	0.245	0.427	0.0327745485406076	Syn1	cholinergic neuron
1.52932253555293e-06	1.8127127191795	0.229	0.078	0.0365997469208526	CG11458	cholinergic neuron
