p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	annotation
5.5734845488491e-11	1.57038658922239	0.537	0	1.33384632223057e-06	Ldh	adult brain cell body glial cell
1.21359922602144e-10	-1.2946514434617	0.195	0.69	2.90438566771451e-06	Obp99b	adult brain cell body glial cell
8.57961394384702e-10	-1.11930902035516	0.085	0.569	2.05327320904147e-05	GstD9	adult brain cell body glial cell
7.1785932378781e-09	1.19054375479917	0.902	0.828	0.000171798093368899	hzg	adult brain cell body glial cell
1.66928737460873e-08	1.4320794840691	0.524	0.086	0.00039949385449136	Dgp-1	adult brain cell body glial cell
2.34679343571575e-08	-1.18954268761823	0.476	0.897	0.000561634605035494	MFS9	adult brain cell body glial cell
4.96714219796831e-08	-1.05188256459465	0.573	0.948	0.00118873647081778	Sod3	adult brain cell body glial cell
8.83580953632419e-09	1.93583259863334	0.455	0	0.000211458593823311	Ldh	adult brain perineurial glial cell
1.26289506118374e-08	-1.84369874314861	0.152	0.614	0.000302236046042494	Obp99b	adult brain perineurial glial cell
1.46238317415014e-06	-1.64254746519641	0.288	0.649	0.0349977541237612	RR48373-transposable-element	adult brain perineurial glial cell
5.60796447473535e-15	-3.94684612659413	0.544	0.951	1.34209805809366e-10	CG45263	adult lamina epithelial/marginal glial cell
5.39577177413313e-08	1.74674296178601	0.544	0.024	0.00129131610098554	asRNA:CR45600	adult lamina epithelial/marginal glial cell
1.98382013938177e-07	1.40300817319602	0.485	0	0.00474767835756844	CG6912	adult lamina epithelial/marginal glial cell
1.03722513000268e-06	1.55878246516745	0.441	0	0.0248228718112242	Ldh	adult lamina epithelial/marginal glial cell
7.78050262633987e-21	-1.92350792239474	0.121	0.608	1.86202988853566e-16	Obp99b	adult optic chiasma glial cell
2.41743055833741e-16	1.72724315716345	0.431	0	5.7853948122131e-12	Ldh	adult optic chiasma glial cell
4.4892648725895e-11	1.19798339550303	0.345	0.025	1.07437086930812e-06	Dro	adult optic chiasma glial cell
3.370431380814e-08	1.02196113487896	0.753	0.492	0.000806611638056406	Xrp1	adult optic chiasma glial cell
3.57939375076377e-08	1.10789575352256	0.776	0.492	0.000856620512432786	hzg	adult optic chiasma glial cell
2.71071722875429e-07	-1.01805492231556	0.264	0.542	0.00648728847185476	RR48373-transposable-element	adult optic chiasma glial cell
3.8043529513797e-07	1.16767631124783	0.615	0.333	0.00910457748324188	Ntan1	adult optic chiasma glial cell
1.67056035509033e-06	1.74107914674095	0.466	0.208	0.0399798504180217	Mmp1	adult optic chiasma glial cell
2.22050050861814e-19	2.05032041878818	0.556	0.009	5.31410181722493e-15	asRNA:CR45600	adult reticular neuropil associated glial cell
2.25081969566209e-18	1.69342897494232	0.546	0.018	5.38666169565851e-14	CG6912	adult reticular neuropil associated glial cell
8.84650445603054e-17	-1.80382416118896	0.111	0.658	2.11714544641723e-12	Obp99b	adult reticular neuropil associated glial cell
1.86406488659395e-15	1.89998351233911	0.481	0.018	4.46108008659663e-11	Ldh	adult reticular neuropil associated glial cell
1.50616524568275e-06	-1.06553398138592	0.046	0.281	0.0360455466596796	TotA	adult reticular neuropil associated glial cell
2.21439595235761e-07	-1.01882371481155	0.889	0.95	0.00529949239318223	CG2016	centrifugal neuron C2
3.09040239566824e-07	1.29952004100338	0.238	0	0.00739595101331323	Ldh	centrifugal neuron C2
3.60743318150086e-07	1.77677051644534	0.286	0.02	0.00863330908996787	CG33978	centrifugal neuron C2
4.35851512414752e-19	1.36362970090254	0.261	0.004	1.04307983951099e-14	Ldh	cholinergic neuron
5.10896421015064e-19	-1.27270385094212	0.069	0.409	1.22267731477325e-14	Obp99b	cholinergic neuron
6.28415180326415e-14	1.65416426976301	0.233	0.021	1.50392320955718e-09	CG33978	cholinergic neuron
