gene	cor	p	r2	Ensembl	in_Oxphos_68_Porcelli_list	is_in_TF_list
blw	0.498881476966745	0	0.248882728060521	FBgn0011211	TRUE	FALSE
ATPsynC	0.490294967294557	0	0.240389154954371	FBgn0039830	TRUE	FALSE
sesB	0.441894390916414	0	0.195270652723389	FBgn0003360	FALSE	FALSE
Mf	0.430133717966566	0	0.185015015331742	FBgn0038294	FALSE	FALSE
Mhc	0.429964114015495	0	0.18486913934113	FBgn0264695	FALSE	FALSE
Mlc2	0.421952891500442	0	0.178044242645584	FBgn0002773	FALSE	FALSE
Mlc1	0.41725984870439	0	0.17410578134081	FBgn0002772	FALSE	FALSE
Prm	0.415999685800955	0	0.173055738586493	FBgn0003149	FALSE	FALSE
UQCR-Q	0.409760965837779	0	0.167904049124309	FBgn0036728	TRUE	FALSE
ATPsynbeta	0.395461321709669	0	0.156389656968359	FBgn0010217	TRUE	FALSE
up	0.394220110172671	0	0.155409495264553	FBgn0004169	FALSE	FALSE
bt	0.393097843302739	0	0.154525914409264	FBgn0005666	FALSE	FALSE
UQCR-C2	0.389523215279659	0	0.151728335241803	FBgn0250814	TRUE	FALSE
CG9297	0.389214843634609	0	0.151488194505514	FBgn0038181	FALSE	FALSE
CG43897	0.385837795383465	0	0.148870804346372	FBgn0264489	FALSE	FALSE
COX4	0.38354545678216	0	0.147107117418236	FBgn0032833	TRUE	FALSE
sls	0.38174266256132	0	0.145727460419406	FBgn0086906	FALSE	FALSE
COX6B	0.380488228606754	0	0.144771292108306	FBgn0031066	TRUE	FALSE
Argk	0.379126344314528	0	0.143736784953298	FBgn0000116	FALSE	FALSE
mt:lrRNA	0.378433435850855	0	0.143211865369883	FBgn0013686	FALSE	FALSE
Mpcp1	0.376020711537086	0	0.141391575504856	FBgn0034497	FALSE	FALSE
ATPsynB	0.373165255283191	0	0.139252307750569	FBgn0019644	TRUE	FALSE
cype	0.372465795992741	0	0.138730769184506	FBgn0015031	TRUE	FALSE
ATPsynO	0.372187808213805	0	0.138523764582996	FBgn0016691	TRUE	FALSE
mt:CoI	0.371322266832282	0	0.137880225845465	FBgn0013674	FALSE	FALSE
ATPsynF	0.370825028949145	0	0.137511202095134	FBgn0035032	TRUE	FALSE
ATPsynG	0.369674216638308	0	0.136659026447147	FBgn0010612	TRUE	FALSE
Act57B	0.365462452764539	0	0.133562804380673	FBgn0000044	FALSE	FALSE
SERCA	0.363524968053285	0	0.132150402398142	FBgn0263006	FALSE	FALSE
Tm2	0.361235916647862	0	0.130491387476421	FBgn0004117	FALSE	FALSE
Gapdh1	0.361198959245385	0	0.130464688159949	FBgn0001091	FALSE	FALSE
COX5A	0.359012692776232	0	0.128890113574441	FBgn0019624	TRUE	FALSE
ATPsyngamma	0.356304438804197	0	0.126952853111574	FBgn0020235	TRUE	FALSE
wupA	0.353934253415654	0	0.125269455740896	FBgn0283471	FALSE	FALSE
ATPsynE	0.351722578937669	0	0.123708772534565	FBgn0038224	TRUE	FALSE
mt:CoIII	0.34910190141378	0	0.121872137570716	FBgn0013676	FALSE	FALSE
levy	0.34855728666531	0	0.121492182087483	FBgn0034877	TRUE	FALSE
ATPsynD	0.347627135284366	0	0.120844625186015	FBgn0016120	TRUE	FALSE
TpnC25D	0.346855579402812	0	0.12030879296286	FBgn0031692	FALSE	FALSE
UQCR-C1	0.345914170453624	0	0.119656613320619	FBgn0038271	TRUE	FALSE
COX5B	0.344699220537485	0	0.11881755263915	FBgn0031830	TRUE	FALSE
COX7C	0.341605434780777	0	0.116694273071764	FBgn0040773	TRUE	FALSE
Zasp66	0.341520152523219	0	0.116636014579483	FBgn0035917	FALSE	FALSE
Cyt-c1	0.339263583001392	0	0.115099778750943	FBgn0035600	TRUE	FALSE
UQCR-14	0.338845870942443	0	0.114816524254743	FBgn0030733	TRUE	FALSE
lncRNA:CR31781	0.337763726956234	0	0.114084335247365	FBgn0051781	FALSE	FALSE
mAcon1	0.337590234769552	0	0.113967166611761	FBgn0010100	FALSE	FALSE
Mlp60A	0.337044454001293	0	0.113598963973029	FBgn0259209	FALSE	FALSE
mt:ATPase6	0.335051886943436	0	0.112259766944357	FBgn0013672	FALSE	FALSE
ninaE	0.334933143631538	0	0.112180210702904	FBgn0002940	FALSE	FALSE
ND-39	0.332960602505129	0	0.110862762820578	FBgn0037001	TRUE	FALSE
GlyP	0.332499632183032	0	0.110556005401851	FBgn0004507	FALSE	FALSE
mt:ND4	0.32945964904256	0	0.108543660347247	FBgn0262952	FALSE	FALSE
Mlp84B	0.328710290328398	0	0.10805045496778	FBgn0014863	FALSE	FALSE
ATPsynCF6	0.326854636285512	0	0.106833953261335	FBgn0016119	TRUE	FALSE
mt:Cyt-b	0.326277702929528	0	0.106457139428969	FBgn0013678	FALSE	FALSE
ND-75	0.32442412037649	0	0.10525100988206	FBgn0017566	TRUE	FALSE
mt:CoII	0.323010368293954	0	0.104335698025396	FBgn0013675	FALSE	FALSE
ATPsyndelta	0.317374438910381	0	0.100726534473679	FBgn0028342	TRUE	FALSE
RFeSP	0.315594740818523	0	0.0996000404323109	FBgn0021906	TRUE	FALSE
Idh3a	0.31535858099478	0	0.0994510346070413	FBgn0027291	FALSE	FALSE
eEF2	0.309604995085558	0	0.0958552529819283	FBgn0000559	FALSE	FALSE
CG45076	0.30944462160066	0	0.0957559738375755	FBgn0266446	FALSE	FALSE
Strn-Mlck	0.308627264059186	0	0.0952507881206586	FBgn0265045	FALSE	FALSE
kdn	0.306030750729867	0	0.0936548203922861	FBgn0261955	FALSE	FALSE
ND-MLRQ	0.304906082132873	0	0.0929677189216182	FBgn0052230	TRUE	FALSE
CG7630	0.302578972140053	0	0.0915540343813309	FBgn0040793	FALSE	FALSE
RpLP2	0.301710253070729	0	0.0910290768080034	FBgn0003274	FALSE	FALSE
RpLP1	0.300838914521988	0	0.0905040524907678	FBgn0002593	FALSE	FALSE
sun	0.300594154642806	0	0.0903568458054233	FBgn0014391	TRUE	FALSE
RpL7A	0.299929163227854	0	0.0899575029545606	FBgn0014026	FALSE	FALSE
RpS4	0.299838709014498	0	0.089903251423481	FBgn0011284	FALSE	FALSE
Ald1	0.298513116505483	0	0.0891100807258161	FBgn0000064	FALSE	FALSE
RpL7	0.298432704008749	0	0.0890620788219736	FBgn0005593	FALSE	FALSE
Unc-89	0.29798896330022	0	0.0887974222487397	FBgn0053519	FALSE	FALSE
