gene	cor	p	r2	Ensembl	in_Oxphos_68_Porcelli_list	is_in_TF_list
blw	0.494707900349344	0	0.244735906668057	FBgn0011211	TRUE	FALSE
ATPsynC	0.490479034043465	0	0.240569682836211	FBgn0039830	TRUE	FALSE
sesB	0.453365153305797	0	0.205539962231988	FBgn0003360	FALSE	FALSE
UQCR-Q	0.418216647524037	0	0.174905164266245	FBgn0036728	TRUE	FALSE
Mhc	0.401903043217441	0	0.16152605614744	FBgn0264695	FALSE	FALSE
Mf	0.399640366405504	0	0.159712422460725	FBgn0038294	FALSE	FALSE
Mlc2	0.396588944665963	0	0.157282791031263	FBgn0002773	FALSE	FALSE
Prm	0.392485211632105	0	0.154044641349898	FBgn0003149	FALSE	FALSE
COX4	0.389146940196109	0	0.151435341063994	FBgn0032833	TRUE	FALSE
ATPsynbeta	0.386209868245741	0	0.149158062330393	FBgn0010217	TRUE	FALSE
Mlc1	0.385837472847929	0	0.148870555453676	FBgn0002772	FALSE	FALSE
Argk	0.385049685138206	0	0.148263260025031	FBgn0000116	FALSE	FALSE
ATPsynF	0.380621874453412	0	0.144873011312429	FBgn0035032	TRUE	FALSE
COX6B	0.380489305111964	0	0.144772111304585	FBgn0031066	TRUE	FALSE
ATPsynG	0.37730112432022	0	0.142356138413302	FBgn0010612	TRUE	FALSE
ATPsynO	0.376560898724024	0	0.141798110447845	FBgn0016691	TRUE	FALSE
cype	0.376215658807051	0	0.141538221931624	FBgn0015031	TRUE	FALSE
up	0.375028918891558	0	0.140646690004971	FBgn0004169	FALSE	FALSE
UQCR-C2	0.373544738863335	0	0.139535671932477	FBgn0250814	TRUE	FALSE
Ald1	0.373123322986317	0	0.139221014156351	FBgn0000064	FALSE	FALSE
Gapdh1	0.372118231629009	0	0.138471978310701	FBgn0001091	FALSE	FALSE
ATPsynB	0.37203759599785	0	0.138411972835859	FBgn0019644	TRUE	FALSE
bt	0.371793343403372	0	0.138230290199057	FBgn0005666	FALSE	FALSE
CG9297	0.370605311752102	0	0.137348297098873	FBgn0038181	FALSE	FALSE
mt:lrRNA	0.364974760303867	0	0.133206575658865	FBgn0013686	FALSE	FALSE
COX5A	0.364135001045985	0	0.13259429898676	FBgn0019624	TRUE	FALSE
levy	0.363402071013313	0	0.132061065216765	FBgn0034877	TRUE	FALSE
CG43897	0.362186454463691	0	0.131179027796979	FBgn0264489	FALSE	FALSE
sls	0.358924717281567	0	0.128826952675653	FBgn0086906	FALSE	FALSE
mt:CoI	0.355303706209455	0	0.126240723646175	FBgn0013674	FALSE	FALSE
UQCR-C1	0.355126766170148	0	0.126115020050467	FBgn0038271	TRUE	FALSE
ATPsynE	0.35332057601653	0	0.124835429436653	FBgn0038224	TRUE	FALSE
Cyt-c1	0.350622642476571	0	0.122936237417253	FBgn0035600	TRUE	FALSE
ATPsyngamma	0.350509918597115	0	0.122857203034956	FBgn0020235	TRUE	FALSE
mt:CoIII	0.345560465853633	0	0.11941203556098	FBgn0013676	FALSE	FALSE
UQCR-14	0.344667628863106	0	0.118795774386116	FBgn0030733	TRUE	FALSE
ATPsynD	0.343661547449911	1.1125369292536e-308	0.118103259195667	FBgn0016120	TRUE	FALSE
COX5B	0.341110930780021	1.11253692973103e-308	0.116356667097612	FBgn0031830	TRUE	FALSE
COX7C	0.340725378128456	1.11253693199333e-308	0.116093783300779	FBgn0040773	TRUE	FALSE
Mpcp1	0.340183549167358	1.11253696103979e-308	0.1157248471241	FBgn0034497	FALSE	FALSE
ND-39	0.339886576004851	1.11253705081506e-308	0.115522884548301	FBgn0037001	TRUE	FALSE
mAcon1	0.3396047094929	1.11253736289083e-308	0.115331358709757	FBgn0010100	FALSE	FALSE
SERCA	0.333269466355841	1.58780370364529e-302	0.111068537205107	FBgn0263006	FALSE	FALSE
ATPsynCF6	0.3324657240446	5.44379721190069e-301	0.1105334576645	FBgn0016119	TRUE	FALSE
wupA	0.332229670273482	1.53417151035372e-300	0.110376553810027	FBgn0283471	FALSE	FALSE
Act57B	0.330404061620064	4.49218956734697e-297	0.109166843935035	FBgn0000044	FALSE	FALSE
mt:ND4	0.328918189086002	2.86024248344023e-294	0.108187175111615	FBgn0262952	FALSE	FALSE
Tm2	0.327612827059155	8.06816882370757e-292	0.107330164453692	FBgn0004117	FALSE	FALSE
ND-75	0.325371413822364	1.21936993142877e-287	0.105866556932764	FBgn0017566	TRUE	FALSE
TpnC25D	0.324459574884054	5.97333190198722e-286	0.105274015733941	FBgn0031692	FALSE	FALSE
mt:CoII	0.324436590954844	6.58781541860436e-286	0.105259101550401	FBgn0013675	FALSE	FALSE
GlyP	0.323147755557531	1.57542443449249e-283	0.104424471921869	FBgn0004507	FALSE	FALSE
Idh3a	0.321371604860255	2.85985048668886e-280	0.103279708410456	FBgn0027291	FALSE	FALSE
Zasp66	0.320614623178644	6.89561559496741e-279	0.102793736595984	FBgn0035917	FALSE	FALSE
eEF2	0.320482159013902	1.20236937370519e-278	0.102708814246212	FBgn0000559	FALSE	FALSE
