regulon	gene	cor	p	r2	Ensembl	in_Oxphos_68_Porcelli_list	is_in_TF_list
SCENIC_exd_activating_regulon	exd	0.808573098744	0	0.653790456012474	FBgn0000611	FALSE	TRUE
SCENIC_Usf_activating_regulon	Usf	0.778523013010498	0	0.606098081786945	FBgn0029711	FALSE	TRUE
SCENIC_CG12054_activating_regulon	CG12054	0.76705029023847	0	0.588366147754921	FBgn0039831	FALSE	TRUE
SCENIC_CG11247_activating_regulon	CG11247	0.764570713255809	0	0.584568375568496	FBgn0037120	FALSE	TRUE
SCENIC_FoxK_activating_regulon	FoxK	0.761765425853041	0	0.580286564025065	FBgn0036134	FALSE	TRUE
SCENIC_CG10462_activating_regulon	CG10462	0.747000955564085	0	0.558010427613657	FBgn0032815	FALSE	TRUE
SCENIC_D1_activating_regulon	D1	0.707442256610419	0	0.500474546438041	FBgn0000412	FALSE	TRUE
SCENIC_Dp_activating_regulon	Dp	0.704325387192735	0	0.496074251044196	FBgn0011763	FALSE	TRUE
SCENIC_usp_activating_regulon	usp	0.700310954058095	0	0.49043543237376	FBgn0003964	FALSE	TRUE
SCENIC_kay_activating_regulon	kay	0.681731948040042	0	0.464758448978471	FBgn0001297	FALSE	TRUE
SCENIC_Dlip1_activating_regulon	Dlip1	0.658557061826925	0	0.433697403682112	FBgn0040467	FALSE	TRUE
SCENIC_maf-S_activating_regulon	maf-S	0.651806369737915	0	0.424851543630919	FBgn0034534	FALSE	TRUE
SCENIC_pzg_activating_regulon	pzg	0.646250136965279	0	0.417639239527642	FBgn0259785	FALSE	TRUE
SCENIC_CG17385_activating_regulon	CG17385	0.638371333670618	0	0.407517959652404	FBgn0033934	FALSE	TRUE
SCENIC_HmgZ_activating_regulon	HmgZ	0.623649043939288	0	0.388938130006388	FBgn0010228	FALSE	TRUE
SCENIC_Aef1_activating_regulon	Aef1	0.616286941131189	0	0.379809593808838	FBgn0005694	FALSE	TRUE
SCENIC_emc_activating_regulon	emc	0.611048819388848	0	0.373380659676505	FBgn0000575	FALSE	TRUE
SCENIC_D19B_activating_regulon	D19B	0.60116333198849	0	0.361397351727504	FBgn0022699	FALSE	TRUE
SCENIC_CG7987_activating_regulon	CG7987	0.594153515044125	0	0.353018399439289	FBgn0038244	FALSE	TRUE
SCENIC_CG31388_activating_regulon	CG31388	0.593789485354871	0	0.352585952918002	FBgn0051388	FALSE	TRUE
SCENIC_Smox_activating_regulon	Smox	0.589627717254839	0	0.347660844955152	FBgn0025800	FALSE	TRUE
SCENIC_CG11617_activating_regulon	CG11617	0.586880393512741	0	0.344428596289669	FBgn0031232	FALSE	TRUE
SCENIC_SREBP_activating_regulon	SREBP	0.584687664129113	0	0.341859664584759	FBgn0261283	FALSE	TRUE
SCENIC_Xbp1_activating_regulon	Xbp1	0.582132887413693	0	0.338878698608604	FBgn0021872	FALSE	TRUE
SCENIC_Ets97D_activating_regulon	Ets97D	0.580162740666876	0	0.336588805658101	FBgn0004510	FALSE	TRUE
SCENIC_REPTOR-BP_activating_regulon	REPTOR-BP	0.575467014320551	0	0.33116228457101	FBgn0032202	FALSE	TRUE
SCENIC_CG4617_activating_regulon	CG4617	0.56864903687755	0	0.323361727141765	FBgn0029936	FALSE	TRUE
SCENIC_Kah_activating_regulon	Kah	0.548229817359441	0	0.300555932641966	FBgn0035144	FALSE	TRUE
SCENIC_Jra_activating_regulon	Jra	0.542016999032219	0	0.293782427239893	FBgn0001291	FALSE	TRUE
SCENIC_Sry-delta_activating_regulon	Sry-delta	0.534742645165014	0	0.285949696558076	FBgn0003512	FALSE	TRUE
SCENIC_Hr96_activating_regulon	Hr96	0.533758088380619	0	0.284897696911733	FBgn0015240	FALSE	TRUE
SCENIC_Nf-YB_activating_regulon	Nf-YB	0.528178521230585	0	0.278972550289328	FBgn0032816	FALSE	TRUE
SCENIC_Rel_activating_regulon	Rel	0.516119199438561	0	0.266379028029101	FBgn0014018	FALSE	TRUE
SCENIC_Max_activating_regulon	Max	0.514105294245984	0	0.26430425357175	FBgn0017578	FALSE	TRUE
SCENIC_crol_activating_regulon	crol	0.511283358679335	0	0.261410672862422	FBgn0020309	FALSE	TRUE
SCENIC_crc_activating_regulon	crc	0.50780067427586	0	0.257861524795018	FBgn0000370	FALSE	TRUE
SCENIC_stc_activating_regulon	stc	0.505556573133396	0	0.255587448638383	FBgn0001978	FALSE	TRUE
SCENIC_CG9727_activating_regulon	CG9727	0.498851512285933	0	0.248852831309962	FBgn0037445	FALSE	TRUE
