regulon	gene	cor	p	r2	Ensembl	in_Oxphos_68_Porcelli_list	is_in_TF_list
SCENIC_exd_activating_regulon	exd	0.819174326922819	0	0.671046577889454	FBgn0000611	FALSE	TRUE
SCENIC_CG12054_activating_regulon	CG12054	0.801168560557643	0	0.641871062426006	FBgn0039831	FALSE	TRUE
SCENIC_Usf_activating_regulon	Usf	0.790428124115574	0	0.624776619392865	FBgn0029711	FALSE	TRUE
SCENIC_CG11247_activating_regulon	CG11247	0.761503926630149	0	0.579888230273135	FBgn0037120	FALSE	TRUE
SCENIC_FoxK_activating_regulon	FoxK	0.759718503017606	0	0.577172203827312	FBgn0036134	FALSE	TRUE
SCENIC_CG10462_activating_regulon	CG10462	0.729507890668562	0	0.532181762547695	FBgn0032815	FALSE	TRUE
SCENIC_D1_activating_regulon	D1	0.726037224196728	0	0.52713005091929	FBgn0000412	FALSE	TRUE
SCENIC_Dp_activating_regulon	Dp	0.708433565060547	0	0.501878116104397	FBgn0011763	FALSE	TRUE
SCENIC_kay_activating_regulon	kay	0.688716149571973	0	0.474329934681244	FBgn0001297	FALSE	TRUE
SCENIC_usp_activating_regulon	usp	0.685180055709768	0	0.469471708742441	FBgn0003964	FALSE	TRUE
SCENIC_maf-S_activating_regulon	maf-S	0.666508749145783	0	0.444233912687877	FBgn0034534	FALSE	TRUE
SCENIC_CG17385_activating_regulon	CG17385	0.662922468414399	0	0.439466199128639	FBgn0033934	FALSE	TRUE
SCENIC_pzg_activating_regulon	pzg	0.650155896069722	0	0.422702689194224	FBgn0259785	FALSE	TRUE
SCENIC_Dlip1_activating_regulon	Dlip1	0.645747557089352	0	0.416989907486866	FBgn0040467	FALSE	TRUE
SCENIC_Aef1_activating_regulon	Aef1	0.628187908559221	0	0.394620048460009	FBgn0005694	FALSE	TRUE
SCENIC_HmgZ_activating_regulon	HmgZ	0.627423856793459	0	0.393660696073579	FBgn0010228	FALSE	TRUE
SCENIC_CG4617_activating_regulon	CG4617	0.622802206252703	0	0.387882588113235	FBgn0029936	FALSE	TRUE
SCENIC_CG31388_activating_regulon	CG31388	0.61548796165555	0	0.378825430942904	FBgn0051388	FALSE	TRUE
SCENIC_emc_activating_regulon	emc	0.613114786377583	0	0.37590974127483	FBgn0000575	FALSE	TRUE
SCENIC_CG7987_activating_regulon	CG7987	0.610412371604201	0	0.372603263407465	FBgn0038244	FALSE	TRUE
SCENIC_crol_activating_regulon	crol	0.608663923599514	0	0.370471771891555	FBgn0020309	FALSE	TRUE
SCENIC_Smox_activating_regulon	Smox	0.598102918808274	0	0.357727101486977	FBgn0025800	FALSE	TRUE
SCENIC_Xbp1_activating_regulon	Xbp1	0.596194560673252	0	0.355447954176372	FBgn0021872	FALSE	TRUE
SCENIC_crc_activating_regulon	crc	0.588453764246744	0	0.346277832656162	FBgn0000370	FALSE	TRUE
SCENIC_SREBP_activating_regulon	SREBP	0.578048019235359	0	0.334139512541922	FBgn0261283	FALSE	TRUE
SCENIC_D19B_activating_regulon	D19B	0.572287195672953	0	0.327512634331213	FBgn0022699	FALSE	TRUE
SCENIC_CG11617_activating_regulon	CG11617	0.556025974021102	0	0.309164883786116	FBgn0031232	FALSE	TRUE
SCENIC_Ets97D_activating_regulon	Ets97D	0.5548606338353	0	0.307870322980111	FBgn0004510	FALSE	TRUE
SCENIC_REPTOR-BP_activating_regulon	REPTOR-BP	0.544760281383562	0	0.296763764173098	FBgn0032202	FALSE	TRUE
SCENIC_Nf-YB_activating_regulon	Nf-YB	0.54351667192576	0	0.295410372661254	FBgn0032816	FALSE	TRUE
SCENIC_Sry-delta_activating_regulon	Sry-delta	0.538918531080712	0	0.290433183142192	FBgn0003512	FALSE	TRUE
SCENIC_Jra_activating_regulon	Jra	0.537710449123789	0	0.289132527096907	FBgn0001291	FALSE	TRUE
SCENIC_Rel_activating_regulon	Rel	0.52588608167467	0	0.276556170899138	FBgn0014018	FALSE	TRUE
SCENIC_stc_activating_regulon	stc	0.522774178282408	0	0.273292841478847	FBgn0001978	FALSE	TRUE
SCENIC_Hr96_activating_regulon	Hr96	0.519963643966776	0	0.270362191047208	FBgn0015240	FALSE	TRUE
SCENIC_Kah_activating_regulon	Kah	0.515597263413378	0	0.265840538039364	FBgn0035144	FALSE	TRUE
SCENIC_Max_activating_regulon	Max	0.50817830759351	0	0.258245192308604	FBgn0017578	FALSE	TRUE
SCENIC_CG9727_activating_regulon	CG9727	0.504850641500964	0	0.254874170223934	FBgn0037445	FALSE	TRUE
SCENIC_CG9305_activating_regulon	CG9305	0.504218759209569	0	0.254236557138838		FALSE	TRUE
SCENIC_ssp_activating_regulon	ssp	0.475838114546611	0	0.226421911255273	FBgn0036248	FALSE	TRUE
SCENIC_Myc_activating_regulon	Myc	0.467773963532355	0	0.218812480958769	FBgn0262656	FALSE	TRUE
SCENIC_wdn_activating_regulon	wdn	0.4640323077933	0	0.215325982675976	FBgn0005642	FALSE	TRUE
SCENIC_Med_activating_regulon	Med	0.45877643400737	0	0.210475816400518	FBgn0011655	FALSE	TRUE
SCENIC_CG10959_activating_regulon	CG10959	0.456715628939098	0	0.208589165717236	FBgn0030010	FALSE	TRUE
SCENIC_CG18476_activating_regulon	CG18476	0.446146950416807	0	0.199047101366217	FBgn0037931	FALSE	TRUE
SCENIC_crp_activating_regulon	crp	0.442003542956096	0	0.195367131985741	FBgn0001994	FALSE	TRUE
SCENIC_Stat92E_activating_regulon	Stat92E	0.42397694549821	0	0.179756450313992	FBgn0016917	FALSE	TRUE
SCENIC_lmd_activating_regulon	lmd	0.423517383480481	0	0.179366974110153	FBgn0039039	FALSE	TRUE
SCENIC_CG12104_activating_regulon	CG12104	0.414215095822428	0	0.171574145607183	FBgn0035238	FALSE	TRUE
SCENIC_CG32121_activating_regulon	CG32121	0.410291364093249	0	0.168339003449499	FBgn0052121	FALSE	TRUE
SCENIC_CG14655_activating_regulon	CG14655	0.404834559457598	0	0.163891020531228	FBgn0037275	FALSE	TRUE
SCENIC_CG2202_activating_regulon	CG2202	0.399661577664477	0	0.159729376661259	FBgn0030240	FALSE	TRUE
SCENIC_nau_activating_regulon	nau	0.397018718472554	0	0.157623862817589	FBgn0002922	FALSE	TRUE
SCENIC_CG15514_activating_regulon	CG15514	0.391415087280091	0	0.153205770550481	FBgn0039712	FALSE	TRUE
SCENIC_her_activating_regulon	her	0.384232012398518	0	0.147634239351815	FBgn0001185	FALSE	TRUE
SCENIC_Pph13_activating_regulon	Pph13	0.36907843814335	0	0.136218893502334	FBgn0023489	FALSE	TRUE
SCENIC_Poxm_activating_regulon	Poxm	0.368054393713074	0	0.135464036731499	FBgn0003129	FALSE	TRUE
SCENIC_hb_activating_regulon	hb	0.355467961273415	0	0.126357471491878	FBgn0001180	FALSE	TRUE
SCENIC_polybromo_activating_regulon	polybromo	0.354982558676379	0	0.126012616964429	FBgn0039227	FALSE	TRUE
SCENIC_Clamp_activating_regulon	Clamp	0.352076820783132	0	0.123958087732758	FBgn0032979	FALSE	TRUE
SCENIC_Pdp1_activating_regulon	Pdp1	0.350365026634965	0	0.12275565188892	FBgn0016694	FALSE	TRUE
SCENIC_grau_activating_regulon	grau	0.339925204500665	1.11253703136085e-308	0.115549144654819	FBgn0001133	FALSE	TRUE
SCENIC_Ssrp_activating_regulon	Ssrp	0.336875681988025	1.20269401830598e-308	0.113485225114897	FBgn0010278	FALSE	TRUE
SCENIC_CG10321_activating_regulon	CG10321	0.335745489442448	2.77074765717741e-307	0.112725033680949	FBgn0034643	FALSE	TRUE
SCENIC_CG11695_activating_regulon	CG11695	0.331182333629992	1.50498667860981e-298	0.109681738108608	FBgn0030316	FALSE	TRUE
SCENIC_CG9876_activating_regulon	CG9876	0.326593178009748	6.49266767089332e-290	0.106663103922507	FBgn0034821	FALSE	TRUE
SCENIC_slbo_activating_regulon	slbo	0.320970361568545	1.5470422493569e-279	0.103021973005443	FBgn0005638	FALSE	TRUE
SCENIC_CG30431_activating_regulon	CG30431	0.317183224153118	1.13278752533796e-272	0.100605197684167	FBgn0050431	FALSE	TRUE
SCENIC_Hsf_activating_regulon	Hsf	0.297914574879333	2.85981612819837e-239	0.0887530939255335	FBgn0001222	FALSE	TRUE
SCENIC_srp_activating_regulon	srp	0.296087202904611	3.11811427414372e-236	0.0876676317238764	FBgn0003507	FALSE	TRUE
SCENIC_CG8944_activating_regulon	CG8944	0.289300321798585	3.81395636286116e-225	0.0836946761927647	FBgn0030680	FALSE	TRUE
SCENIC_Bap111_activating_regulon	Bap111	0.289126548815255	7.2655680076512e-225	0.0835941612298197	FBgn0030093	FALSE	TRUE
SCENIC_Cp190_activating_regulon	Cp190	0.286201051566884	3.49604838058494e-220	0.0819110419179903	FBgn0000283	FALSE	TRUE
SCENIC_CG3847_activating_regulon	CG3847	0.278081186633287	1.76689933281374e-207	0.0773291463593769	FBgn0029867	FALSE	TRUE
SCENIC_CG4360_activating_regulon	CG4360	0.270301252182083	1.04761397019558e-195	0.0730627669312019	FBgn0038787	FALSE	TRUE
SCENIC_Mrtf_activating_regulon	Mrtf	0.266085211253414	1.7335133544074e-189	0.0708013396477739	FBgn0052296	FALSE	TRUE
SCENIC_CG18446_activating_regulon	CG18446	0.265922928186854	2.99259483409155e-189	0.0707150037354707		FALSE	TRUE
SCENIC_CG14050_activating_regulon	CG14050	0.254588852613844	4.24542229040003e-173	0.0648154838752335	FBgn0040392	FALSE	TRUE
SCENIC_Sox14_activating_regulon	Sox14	0.253488725735931	1.42244691224431e-171	0.0642565340752262	FBgn0005612	FALSE	TRUE
SCENIC_sug_activating_regulon	sug	0.241094462522997	6.6166371949619e-155	0.0581265398592528	FBgn0033782	FALSE	TRUE
SCENIC_lab_activating_regulon	lab	0.23988419690078	2.49974074186235e-153	0.0575444279227322	FBgn0002522	FALSE	TRUE
SCENIC_woc_activating_regulon	woc	0.234844979574528	7.4109849557418e-147	0.0551521644313604	FBgn0010328	FALSE	TRUE
SCENIC_vri_activating_regulon	vri	0.231926504330255	3.53329956760617e-143	0.0537899034108518	FBgn0016076	FALSE	TRUE
SCENIC_drm_activating_regulon	drm	0.231735249301262	6.12977419835396e-143	0.0537012257687182	FBgn0024244	FALSE	TRUE
SCENIC_noc_activating_regulon	noc	0.22464078643833	3.22423041602171e-134	0.0504634829316315	FBgn0005771	FALSE	TRUE
SCENIC_CG1647_activating_regulon	CG1647	0.215292397615275	3.50457018897862e-123	0.0463508164709335	FBgn0039602	FALSE	TRUE
SCENIC_svp_activating_regulon	svp	0.214390928656041	3.8168007924823e-122	0.0459634702899998	FBgn0003651	FALSE	TRUE
SCENIC_sd_activating_regulon	sd	0.212836114081006	2.28673839851184e-120	0.0452992114571031	FBgn0003345	FALSE	TRUE
SCENIC_dany_activating_regulon	dany	0.212558810323978	4.72885264312007e-120	0.0451812478463447	FBgn0050401	FALSE	TRUE
SCENIC_toe_activating_regulon	toe	0.212272905597232	9.99107300482769e-120	0.0450597864506915	FBgn0036285	FALSE	TRUE
SCENIC_REPTOR_activating_regulon	REPTOR	0.207371886927867	3.12137393812936e-114	0.0430030994880242	FBgn0039209	FALSE	TRUE
SCENIC_GATAd_activating_regulon	GATAd	0.201538984162422	7.1196905400688e-108	0.040617962137221	FBgn0032223	FALSE	TRUE
SCENIC_cnc_activating_regulon	cnc	0.200650177471804	6.36905784792107e-107	0.0402604937194666	FBgn0262975	FALSE	TRUE
SCENIC_PHDP_activating_regulon	PHDP	0.19959647071357	8.44034512424308e-106	0.0398387511213129	FBgn0025334	FALSE	TRUE
SCENIC_CG34376_activating_regulon	CG34376	0.197036933127582	4.22623366524997e-103	0.0388235530163231	FBgn0085405	FALSE	TRUE
SCENIC_CG10366_activating_regulon	CG10366	0.196745648889887	8.52704544423645e-103	0.0387088503571027	FBgn0032814	FALSE	TRUE
SCENIC_Dr_activating_regulon	Dr	0.193962743131502	6.58901162553129e-100	0.0376215457230969	FBgn0000492	FALSE	TRUE
