Ensembl	Name	Biotype	GeneLength	SumExonLength
FBgn0085483	CG34454	null	670	603
FBgn0085482	CG34453	null	872	705
FBgn0085481	CG34452	null	1551	1297
FBgn0085480	CG34451	null	3552	1502
FBgn0085487	CG34458	null	857	857
FBgn0085486	CG34457	null	1511	1339
FBgn0085485	CG34456	null	627	627
FBgn0085484	Pdxk	null	1727	1590
FBgn0085489	CG34460	null	884	714
FBgn0085488	CG34459	null	1985	1420
FBgn0085494	Mst77Y-16Psi	null	1108	1051
FBgn0085491	CG34462	null	1655	1157
FBgn0061492	loj	null	1531	1179
FBgn0047199	CG31517	null	1323	1215
FBgn0023197	Jon74E	null	1051	903
FBgn0061476	Zwilch	null	2411	2232
FBgn0035179	aln	null	1721	1456
FBgn0035173	CG13907	null	4723	4723
FBgn0035176	mat	null	913	913
FBgn0035170	dpr20	null	4529	2717
FBgn0035171	CG12502	null	6306	3743
FBgn0047178	CG32147	null	997	911
FBgn0023181	Orc4	null	1675	1615
FBgn0023180	Orc6	null	1028	972
FBgn0035167	Gr61a	null	2251	1868
FBgn0036498	CG13455	null	1482	1414
FBgn0035166	JMJD5	null	1381	1330
FBgn0036497	Ran-like	null	1007	1007
FBgn0035169	Dci	null	1328	1210
FBgn0035168	Cep290	null	7155	6441
FBgn0036499	CG7276	null	620	620
FBgn0036494	Toll-6	null	7624	7624
FBgn0036493	CG7255	null	6941	5047
FBgn0035162	Sf3b3	null	6666	4329
FBgn0035165	CG13887	null	2071	1593
FBgn0036496	cocoon	null	1914	1782
FBgn0035164	CG13901	null	1155	985
FBgn0036495	CG33259	null	436	436
FBgn0036490	Prx1	null	743	743
FBgn0035161	CG13898	null	625	625
FBgn0036492	Best3	null	1871	1694
FBgn0035160	hng3	null	17810	1529
FBgn0036491	Best4	null	1985	1662
FBgn0061469	Ube3a	null	4162	3674
FBgn0035199	tfc	null	18050	2634
FBgn0035196	Bfc	null	1083	1083
FBgn0035198	CG9133	null	3975	3250
FBgn0035197	CG9130	null	3975	3109
FBgn0035192	galene	null	6300	2974
FBgn0035194	Psf1	null	692	692
FBgn0035193	CG9192	null	1187	1187
FBgn0035189	CG9119	null	1480	1212
FBgn0035187	Trhn	null	2790	2183
FBgn0035186	CG13912	null	885	818
FBgn0035181	CG9205	null	1602	1130
FBgn0035138	CG13884	null	774	774
FBgn0036469	CG18649	null	568	568
FBgn0035137	CG1233	null	4210	4064
FBgn0036468	CG13461	null	560	560
FBgn0035139	CG13891	null	761	761
FBgn0037797	CG12420	null	1048	855
